country,population,gdp,trade_balance,top_importer,import_value,top_exporter,export_value
Aruba,105845,0,0,United States of America,6787675291,Unspecified,3642982752
Afghanistan,37172386,1936296958,0,Iran,2528334952,Pakistan,7582179066
Angola,30809762,1057509876,0,China,2307384367,China,2220361683
Albania,2866376,151025009,-2071014879,Italy,162365504,Italy,138126165
Andorra,77006,3.24E+14,0,Spain,1033550915,Spain,799059304
United Arab Emirates,9630959,4141789426,1072021784,China,3801237018,Unspecified,2142955973
Argentina,44494502,5198715198,-1112218744,Brazil,1557323457,Brazil,1129135744
Armenia,2951776,1243308992,-1949003913,Russia,1259288574,Russia,6418642516
Antigua and Barbuda,96286,1610574074,0,United States of America,283253126,United Arab Emirates,8095873156
Australia,24992369,1433904349,598015657,China,5769942191,China,8772622473
Austria,8847037,455285818,1694322583,Germany,6533801114,Germany,530907566
Azerbaijan,9942334,4693952941,7779294117,Russia,1884217284,Italy,5879775325
Burundi,11175378,3036931818,-6906570268,Saudi Arabia,1360983909,United Arab Emirates,5021634883
Belgium,11422068,5427610921,-88563747,Netherlands,8169911057,Germany,840851295
Benin,11485048,1035427464,-9119072768,Thailand,4584313555,Bangladesh,2164091815
Burkina Faso,19751535,1412477507,-9106548567,China,5433953005,Switzerland,173095162
Bangladesh,161356039,274024959,-2368391317,China,1034933254,United States of America,6139352462
Bulgaria,7024216,6513295112,1712492456,Germany,4692937404,Germany,4928454239
Bahrain,1569439,3774619681,3125,Saudi Arabia,6813977407,Unspecified,6898305
The Bahamas,385640,124245,-6448,United States of America,2587841812,United States of America,367790303
Bosnia and Herzegovina,3323929,2016186542,-3063334943,Germany,1386488199,Germany,1052048279
Belarus,9485386,5966249509,62961327,Russia,224262872,Russia,12879206
Belize,383071,1871203164,-57178673,United States of America,4072158374,United States of America,7547086318
Bermuda,63968,0,0,United States of America,7423767005,United States of America,1435427293
Bolivia,11353142,4028764776,-2067713169,China,2075383222,Brazil,1720645656
Brazil,209469333,1868626088,987848267,China,3473002491,China,6420564706
Barbados,286641,5145,565247,United States of America,631860293,Unspecified,1091513565
Brunei,428962,1356735118,1352425161,China,1641411362,Japan,2282379465
Bhutan,754394,2534965163,0,India,781471333,India,497716611
Botswana,2254126,186160189,2958383892,South Africa,3866285087,Belgium,1366481562
Central African Republic,4666377,2219894702,-6237104516,France,1094260154,France,1204263865
Canada,37058856,1713341705,-3361798614,United States of America,2351175563,United States of America,3378142898
Switzerland,8516543,7051403542,8621081506,Germany,5778872381,Germany,4.74E+14
Chile,18729160,2982311335,275876947,China,1750435585,China,2528693807
China,1392730000,1360815187,1066234763,South Korea,2045664512,United States of America,4797015805
Cameroon,25216237,3867520529,-1695464856,China,1785730011,Italy,9062152361
Democratic Republic of the Congo,5244363,1126368269,4828447686,Heard Island and McDonald Isla,4634105605,China,2761483198
Colombia,49648685,3310470401,-162191126,United States of America,1309564407,United States of America,1132521957
Comoros,832322,1177955049,-1955236758,France,2488358,France,3458063
Cape Verde,543767,1976814277,-3840629352,Portugal,3515932121,Spain,4894026115
Costa Rica,4999441,6013010612,304318537,United States of America,64760898,United States of America,4624930972
Cuba,11338138,100023,1909,Unspecified,3729170292,Unspecified,1871030461
Cayman Islands,64174,0,0,0,0,0,0
Cyprus,1189265,2496198866,196248228,Greece,1921911612,Cayman Islands,7534825749
Czech Republic,10625695,2452258829,1565275216,Germany,4637043465,Germany,6564169339
Germany,82927922,3947620163,2432274727,China,1267509453,United States of America,1343634387
Djibouti,958920,2955912228,-8898622491,France,19754463,Ethiopia,12855501
Dominica,71625,5508925926,-1221286296,United States of America,77878134,Trinidad and Tobago,6941986
Denmark,5797446,3556753291,215080849,Germany,2293858339,Special Categories,1717104594
Dominican Republic,10627165,8555539039,-4237647272,United States of America,8675109355,United States of America,4715909981
Algeria,42228429,1737579528,-1167214723,China,8317843904,Italy,5629479666
Ecuador,17084357,108398058,-246095,United States of America,5010624686,United States of America,6671509
Egypt,98423595,2508947604,-2622934136,China,1151708405,Italy,205252292
Eritrea,3213972,0,0,United States of America,68954703,Sudan,1292275
Spain,46723749,141904195,3850746555,Germany,4729626381,France,5066318979
Estonia,1320884,3073214453,1079593973,Germany,1974457594,Finland,2701276342
Ethiopia,109224559,8435560475,-1217360829,China,6095987645,United States of America,169446868
Finland,5518050,2767431205,-202552834,Germany,1190510975,Germany,1115609275
Fiji,883483,5536759659,0,Singapore,5668870743,United States of America,1868481037
France,66987244,2777535239,-2148405666,Germany,1022530319,Germany,8321211733
Gabon,2119275,1685358931,4891610053,France,823737916,United States of America,3160351522
