Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Aruba,2018,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36.42982752
Aruba,2018,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.6324496
Aruba,2018,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.51925042
Aruba,2018,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.841937998
Aruba,2018,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.812149741
Aruba,2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,678.7675291
Aruba,2018,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,295.5777076
Aruba,2018,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,137.2884487
Aruba,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28.6629486
Aruba,2018,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25.71124305
Aruba,2018,World,Animal,Export,Export(US$ Mil),0.387208229
Aruba,2018,World,Vegetable,Export,Export(US$ Mil),0.262120568
Aruba,2018,World,Food Products,Export,Export(US$ Mil),28.40524423
Aruba,2018,World,Minerals,Export,Export(US$ Mil),0.007511729
Aruba,2018,World,Fuels,Export,Export(US$ Mil),0.041262554
Aruba,2018,World,Chemicals,Export,Export(US$ Mil),6.299860113
Aruba,2018,World,Plastic or Rubber,Export,Export(US$ Mil),0.579523796
Aruba,2018,World,Hides and Skins,Export,Export(US$ Mil),0.262900456
Aruba,2018,World,Wood,Export,Export(US$ Mil),0.774991318
Aruba,2018,World,Textiles and Clothing,Export,Export(US$ Mil),0.68269694
Aruba,2018,World,Footwear,Export,Export(US$ Mil),0.473683614
Aruba,2018,World,Stone and Glass,Export,Export(US$ Mil),8.564333531
Aruba,2018,World,Metals,Export,Export(US$ Mil),5.597177147
Aruba,2018,World,Mach and Elec,Export,Export(US$ Mil),3.620769538
Aruba,2018,World,Transportation,Export,Export(US$ Mil),2.225372149
Aruba,2018,World,Miscellaneous,Export,Export(US$ Mil),11.57808096
Aruba,2018,World,Raw materials,Export,Export(US$ Mil),4.644425563
Aruba,2018,World,Intermediate goods,Export,Export(US$ Mil),1.96697225
Aruba,2018,World,Consumer goods,Export,Export(US$ Mil),51.04502423
Aruba,2018,World,Capital goods,Export,Export(US$ Mil),6.762370547
