reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Mexico,2008,Export,  All Products,Export (US$ Thousand),291264808.8,100
Mexico,2008,Export, Capital goods,Macro Export (US$ Thousand),105869277.9,36.3481
Mexico,2008,Export, Consumer goods,Macro Export (US$ Thousand),98088064.93,33.6766
Mexico,2008,Export, Intermediate goods,Macro Export (US$ Thousand),29852378,10.2492
Mexico,2008,Export, Raw materials,Macro Export (US$ Thousand),56135017.06,19.2728
Mexico,2008,Export,Other,Macro Export (US$ Thousand),1320070.926,0.4533
Mexico,2008,Export,Animal,Micro Export (US$ Thousand),1701459.189,0.5842
Mexico,2008,Export,Chemicals,Micro Export (US$ Thousand),8750702.245,3.0044
Mexico,2008,Export,Food Products,Micro Export (US$ Thousand),7100986.757,2.438
Mexico,2008,Export,Footwear,Micro Export (US$ Thousand),386395.858,0.1327
Mexico,2008,Export,Fuels,Micro Export (US$ Thousand),50165033.61,17.2232
Mexico,2008,Export,Hides and Skins,Micro Export (US$ Thousand),514487.938,0.1766
Mexico,2008,Export,Mach and Elec,Micro Export (US$ Thousand),108852005.2,37.3722
Mexico,2008,Export,Metals,Micro Export (US$ Thousand),16162871,5.5492
Mexico,2008,Export,Minerals,Micro Export (US$ Thousand),2046422.414,0.7026
Mexico,2008,Export,Miscellaneous,Micro Export (US$ Thousand),18940409.98,6.5028
Mexico,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),6856094.947,2.3539
Mexico,2008,Export,Stone and Glass,Micro Export (US$ Thousand),8080881.052,2.7744
Mexico,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),6862632.818,2.3561
Mexico,2008,Export,Transportation,Micro Export (US$ Thousand),45022798.65,15.4577
Mexico,2008,Export,Vegetable,Micro Export (US$ Thousand),7482333.329,2.5689
Mexico,2008,Export,Wood,Micro Export (US$ Thousand),2339293.851,0.8032
Mexico,2008,Import,  All Products,Import (US$ Thousand),308583119.9,100
Mexico,2008,Import, Capital goods,Macro Import (US$ Thousand),132121432,42.8155
Mexico,2008,Import, Consumer goods,Macro Import (US$ Thousand),91232719.57,29.565
Mexico,2008,Import, Intermediate goods,Macro Import (US$ Thousand),61892612.02,20.057
Mexico,2008,Import, Raw materials,Macro Import (US$ Thousand),18616397.77,6.0329
Mexico,2008,Import,Other,Macro Import (US$ Thousand),4719958.579,1.5296
Mexico,2008,Import,Animal,Micro Import (US$ Thousand),5486765.697,1.7781
Mexico,2008,Import,Chemicals,Micro Import (US$ Thousand),23754312.48,7.6979
