reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Argentina,2008,Export,  All Products,Export (US$ Thousand),70018850.81,100
Argentina,2008,Export, Capital goods,Macro Export (US$ Thousand),7046767.941,10.0641
Argentina,2008,Export, Consumer goods,Macro Export (US$ Thousand),14972718.39,21.3838
Argentina,2008,Export, Intermediate goods,Macro Export (US$ Thousand),26558421.71,37.9304
Argentina,2008,Export, Raw materials,Macro Export (US$ Thousand),20036366.3,28.6157
Argentina,2008,Export,Other,Macro Export (US$ Thousand),1404576.465,2.006
Argentina,2008,Export,Animal,Micro Export (US$ Thousand),4321784.249,6.1723
Argentina,2008,Export,Chemicals,Micro Export (US$ Thousand),4581617.84,6.5434
Argentina,2008,Export,Food Products,Micro Export (US$ Thousand),11213335.42,16.0147
Argentina,2008,Export,Footwear,Micro Export (US$ Thousand),36290.318,0.0518
Argentina,2008,Export,Fuels,Micro Export (US$ Thousand),6561521.003,9.3711
Argentina,2008,Export,Hides and Skins,Micro Export (US$ Thousand),1003555.251,1.4333
Argentina,2008,Export,Mach and Elec,Micro Export (US$ Thousand),2428387.928,3.4682
Argentina,2008,Export,Metals,Micro Export (US$ Thousand),3467938.74,4.9529
Argentina,2008,Export,Minerals,Micro Export (US$ Thousand),1319244.498,1.8841
Argentina,2008,Export,Miscellaneous,Micro Export (US$ Thousand),1873399.716,2.6756
Argentina,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),1851839.178,2.6448
Argentina,2008,Export,Stone and Glass,Micro Export (US$ Thousand),967372.596,1.3816
Argentina,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),597440.771,0.8533
Argentina,2008,Export,Transportation,Micro Export (US$ Thousand),7352919.751,10.5013
Argentina,2008,Export,Vegetable,Micro Export (US$ Thousand),21482586.05,30.6811
Argentina,2008,Export,Wood,Micro Export (US$ Thousand),959617.506,1.3705
Argentina,2008,Import,  All Products,Import (US$ Thousand),57461774.37,100
Argentina,2008,Import, Capital goods,Macro Import (US$ Thousand),21998830.16,38.2843
Argentina,2008,Import, Consumer goods,Macro Import (US$ Thousand),15997647.91,27.8405
Argentina,2008,Import, Intermediate goods,Macro Import (US$ Thousand),15451980.74,26.8909
Argentina,2008,Import, Raw materials,Macro Import (US$ Thousand),3695935.682,6.432
Argentina,2008,Import,Other,Macro Import (US$ Thousand),317379.884,0.5523
Argentina,2008,Import,Animal,Micro Import (US$ Thousand),190993.663,0.3324
Argentina,2008,Import,Chemicals,Micro Import (US$ Thousand),8948141.516,15.5723
Argentina,2008,Import,Food Products,Micro Import (US$ Thousand),707792.835,1.2318
Argentina,2008,Import,Footwear,Micro Import (US$ Thousand),414148.464,0.7207
Argentina,2008,Import,Fuels,Micro Import (US$ Thousand),4133211.372,7.193
Argentina,2008,Import,Hides and Skins,Micro Import (US$ Thousand),164112.299,0.2856
Argentina,2008,Import,Mach and Elec,Micro Import (US$ Thousand),15590744.56,27.1324
Argentina,2008,Import,Metals,Micro Import (US$ Thousand),4155613.578,7.232
Argentina,2008,Import,Minerals,Micro Import (US$ Thousand),1196730.045,2.0827
Argentina,2008,Import,Miscellaneous,Micro Import (US$ Thousand),2373615.292,4.1308
Argentina,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),3307981.672,5.7568
Argentina,2008,Import,Stone and Glass,Micro Import (US$ Thousand),602110.586,1.0478
Argentina,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),1622769.623,2.8241
Argentina,2008,Import,Transportation,Micro Import (US$ Thousand),10736315.14,18.6843
Argentina,2008,Import,Vegetable,Micro Import (US$ Thousand),1874760.593,3.2626
Argentina,2008,Import,Wood,Micro Import (US$ Thousand),1442733.136,2.5108
Argentina,2009,Export,  All Products,Export (US$ Thousand),55672118.6,100
Argentina,2009,Export, Capital goods,Macro Export (US$ Thousand),5393023.877,9.6871
Argentina,2009,Export, Consumer goods,Macro Export (US$ Thousand),12049554.54,21.6438
Argentina,2009,Export, Intermediate goods,Macro Export (US$ Thousand),23313754.8,41.8769
Argentina,2009,Export, Raw materials,Macro Export (US$ Thousand),14018444.41,25.1804
Argentina,2009,Export,Other,Macro Export (US$ Thousand),897340.984,1.6118
Argentina,2009,Export,Animal,Micro Export (US$ Thousand),4075697.299,7.3209
Argentina,2009,Export,Chemicals,Micro Export (US$ Thousand),4076273.079,7.3219
Argentina,2009,Export,Food Products,Micro Export (US$ Thousand),11795960.68,21.1883
Argentina,2009,Export,Footwear,Micro Export (US$ Thousand),29438.166,0.0529
Argentina,2009,Export,Fuels,Micro Export (US$ Thousand),5659550.335,10.1659
Argentina,2009,Export,Hides and Skins,Micro Export (US$ Thousand),721342.708,1.2957
Argentina,2009,Export,Mach and Elec,Micro Export (US$ Thousand),2023232.781,3.6342
Argentina,2009,Export,Metals,Micro Export (US$ Thousand),2529728.228,4.544
Argentina,2009,Export,Minerals,Micro Export (US$ Thousand),1364544.759,2.451
Argentina,2009,Export,Miscellaneous,Micro Export (US$ Thousand),1256251.71,2.2565
Argentina,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),1558028.341,2.7986
Argentina,2009,Export,Stone and Glass,Micro Export (US$ Thousand),1360659.273,2.4441
Argentina,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),463701.959,0.8329
Argentina,2009,Export,Transportation,Micro Export (US$ Thousand),6018951.691,10.8114
Argentina,2009,Export,Vegetable,Micro Export (US$ Thousand),11898924.04,21.3732
Argentina,2009,Export,Wood,Micro Export (US$ Thousand),839833.549,1.5085
Argentina,2009,Import,  All Products,Import (US$ Thousand),38786161.79,100
Argentina,2009,Import, Capital goods,Macro Import (US$ Thousand),15340286.99,39.5509
Argentina,2009,Import, Consumer goods,Macro Import (US$ Thousand),11696067.1,30.1553
Argentina,2009,Import, Intermediate goods,Macro Import (US$ Thousand),9925391.162,25.59
Argentina,2009,Import, Raw materials,Macro Import (US$ Thousand),1531322.568,3.9481
Argentina,2009,Import,Other,Macro Import (US$ Thousand),293093.97,0.7557
Argentina,2009,Import,Animal,Micro Import (US$ Thousand),171175.558,0.4413
Argentina,2009,Import,Chemicals,Micro Import (US$ Thousand),6102922.57,15.7348
Argentina,2009,Import,Food Products,Micro Import (US$ Thousand),624283.485,1.6096
Argentina,2009,Import,Footwear,Micro Import (US$ Thousand),344557.393,0.8884
Argentina,2009,Import,Fuels,Micro Import (US$ Thousand),2436372.166,6.2816
Argentina,2009,Import,Hides and Skins,Micro Import (US$ Thousand),111027.927,0.2863
Argentina,2009,Import,Mach and Elec,Micro Import (US$ Thousand),11057757.65,28.5095
Argentina,2009,Import,Metals,Micro Import (US$ Thousand),2595894.512,6.6928
Argentina,2009,Import,Minerals,Micro Import (US$ Thousand),399682.201,1.0305
Argentina,2009,Import,Miscellaneous,Micro Import (US$ Thousand),1945604.029,5.0162
Argentina,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),2462454.007,6.3488
Argentina,2009,Import,Stone and Glass,Micro Import (US$ Thousand),463236.384,1.1943
Argentina,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),1170803.173,3.0186
Argentina,2009,Import,Transportation,Micro Import (US$ Thousand),6983203.468,18.0044
Argentina,2009,Import,Vegetable,Micro Import (US$ Thousand),806896.188,2.0804
Argentina,2009,Import,Wood,Micro Import (US$ Thousand),1110291.084,2.8626
Argentina,2010,Export,  All Products,Export (US$ Thousand),68174446.58,100
Argentina,2010,Export, Capital goods,Macro Export (US$ Thousand),6987231.688,10.249
Argentina,2010,Export, Consumer goods,Macro Export (US$ Thousand),14077721.72,20.6496
Argentina,2010,Export, Intermediate goods,Macro Export (US$ Thousand),26281025.44,38.5497
Argentina,2010,Export, Raw materials,Macro Export (US$ Thousand),19577764.49,28.7172
Argentina,2010,Export,Other,Macro Export (US$ Thousand),1250703.242,1.8345
Argentina,2010,Export,Animal,Micro Export (US$ Thousand),4163282.127,6.1068
Argentina,2010,Export,Chemicals,Micro Export (US$ Thousand),4780426.767,7.0121
Argentina,2010,Export,Food Products,Micro Export (US$ Thousand),12044515.23,17.6672
Argentina,2010,Export,Footwear,Micro Export (US$ Thousand),32669.591,0.0479
Argentina,2010,Export,Fuels,Micro Export (US$ Thousand),5388134.753,7.9035
Argentina,2010,Export,Hides and Skins,Micro Export (US$ Thousand),1073760.513,1.575
Argentina,2010,Export,Mach and Elec,Micro Export (US$ Thousand),2200733.825,3.2281
Argentina,2010,Export,Metals,Micro Export (US$ Thousand),2650280.128,3.8875
Argentina,2010,Export,Minerals,Micro Export (US$ Thousand),1927506.428,2.8273
Argentina,2010,Export,Miscellaneous,Micro Export (US$ Thousand),1623049.868,2.3807
Argentina,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),1732656.487,2.5415
Argentina,2010,Export,Stone and Glass,Micro Export (US$ Thousand),2450366.324,3.5943
Argentina,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),665863.813,0.9767
Argentina,2010,Export,Transportation,Micro Export (US$ Thousand),8626300.505,12.6533
Argentina,2010,Export,Vegetable,Micro Export (US$ Thousand),17822037.3,26.1418
Argentina,2010,Export,Wood,Micro Export (US$ Thousand),992862.916,1.4564
Argentina,2010,Import,  All Products,Import (US$ Thousand),56792378.21,100
Argentina,2010,Import, Capital goods,Macro Import (US$ Thousand),22221292.52,39.1272
Argentina,2010,Import, Consumer goods,Macro Import (US$ Thousand),17489018.92,30.7947
Argentina,2010,Import, Intermediate goods,Macro Import (US$ Thousand),14441374.43,25.4284
Argentina,2010,Import, Raw materials,Macro Import (US$ Thousand),2235278.633,3.9359
Argentina,2010,Import,Other,Macro Import (US$ Thousand),405413.698,0.7138
Argentina,2010,Import,Animal,Micro Import (US$ Thousand),269476.521,0.4745
Argentina,2010,Import,Chemicals,Micro Import (US$ Thousand),8498409.585,14.964
Argentina,2010,Import,Food Products,Micro Import (US$ Thousand),821763.101,1.447
Argentina,2010,Import,Footwear,Micro Import (US$ Thousand),403394.563,0.7103
Argentina,2010,Import,Fuels,Micro Import (US$ Thousand),4479354.807,7.8872
Argentina,2010,Import,Hides and Skins,Micro Import (US$ Thousand),142055.005,0.2501
