reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Brazil,2008,Export,  All Products,Export (US$ Thousand),197942442.9,100
Brazil,2008,Export, Capital goods,Macro Export (US$ Thousand),36634639.15,18.5077
Brazil,2008,Export, Consumer goods,Macro Export (US$ Thousand),32928958.1,16.6356
Brazil,2008,Export, Intermediate goods,Macro Export (US$ Thousand),55748234.89,28.1639
Brazil,2008,Export, Raw materials,Macro Export (US$ Thousand),67799956.33,34.2524
Brazil,2008,Export,Other,Macro Export (US$ Thousand),4830654.449,2.4404
Brazil,2008,Export,Animal,Micro Export (US$ Thousand),13974398.63,7.0598
Brazil,2008,Export,Chemicals,Micro Export (US$ Thousand),9451352.215,4.7748
Brazil,2008,Export,Food Products,Micro Export (US$ Thousand),21740630.29,10.9833
Brazil,2008,Export,Footwear,Micro Export (US$ Thousand),2032342.21,1.0267
Brazil,2008,Export,Fuels,Micro Export (US$ Thousand),18689302.85,9.4418
Brazil,2008,Export,Hides and Skins,Micro Export (US$ Thousand),2039148.318,1.0302
Brazil,2008,Export,Mach and Elec,Micro Export (US$ Thousand),19439641.01,9.8209
Brazil,2008,Export,Metals,Micro Export (US$ Thousand),20358499.85,10.2851
Brazil,2008,Export,Minerals,Micro Export (US$ Thousand),19495390.35,9.849
Brazil,2008,Export,Miscellaneous,Micro Export (US$ Thousand),7266991.504,3.6713
Brazil,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),4960988.152,2.5063
Brazil,2008,Export,Stone and Glass,Micro Export (US$ Thousand),3441211.674,1.7385
Brazil,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),2425004.759,1.2251
Brazil,2008,Export,Transportation,Micro Export (US$ Thousand),22385277.73,11.309
Brazil,2008,Export,Vegetable,Micro Export (US$ Thousand),21583969.11,10.9042
Brazil,2008,Export,Wood,Micro Export (US$ Thousand),8658294.261,4.3741
Brazil,2008,Import,  All Products,Import (US$ Thousand),172984767.6,100
Brazil,2008,Import, Capital goods,Macro Import (US$ Thousand),57681699.12,33.345
Brazil,2008,Import, Consumer goods,Macro Import (US$ Thousand),37847053.14,21.8788
Brazil,2008,Import, Intermediate goods,Macro Import (US$ Thousand),49965263.92,28.8842
Brazil,2008,Import, Raw materials,Macro Import (US$ Thousand),27403389.35,15.8415
Brazil,2008,Import,Other,Macro Import (US$ Thousand),87362.08,0.0505
Brazil,2008,Import,Animal,Micro Import (US$ Thousand),1239890.572,0.7168
Brazil,2008,Import,Chemicals,Micro Import (US$ Thousand),29321267.64,16.9502
Brazil,2008,Import,Food Products,Micro Import (US$ Thousand),1511401.346,0.8737
