reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Canada,2008,Export,  All Products,Export (US$ Thousand),455632184.2,100
Canada,2008,Export, Capital goods,Macro Export (US$ Thousand),81940977.99,17.984
Canada,2008,Export, Consumer goods,Macro Export (US$ Thousand),131636153.3,28.8909
Canada,2008,Export, Intermediate goods,Macro Export (US$ Thousand),113089525.5,24.8204
Canada,2008,Export, Raw materials,Macro Export (US$ Thousand),112243071.4,24.6346
Canada,2008,Export,Other,Macro Export (US$ Thousand),16722455.94,3.6701
Canada,2008,Export,Animal,Micro Export (US$ Thousand),10034886.53,2.2024
Canada,2008,Export,Chemicals,Micro Export (US$ Thousand),29512890.52,6.4773
Canada,2008,Export,Food Products,Micro Export (US$ Thousand),9041912.816,1.9845
Canada,2008,Export,Footwear,Micro Export (US$ Thousand),355698.3,0.0781
Canada,2008,Export,Fuels,Micro Export (US$ Thousand),125859104.9,27.623
Canada,2008,Export,Hides and Skins,Micro Export (US$ Thousand),863343.608,0.1895
Canada,2008,Export,Mach and Elec,Micro Export (US$ Thousand),52354788.41,11.4906
Canada,2008,Export,Metals,Micro Export (US$ Thousand),42001033.98,9.2182
Canada,2008,Export,Minerals,Micro Export (US$ Thousand),9249577.52,2.0301
Canada,2008,Export,Miscellaneous,Micro Export (US$ Thousand),29863363.89,6.5543
Canada,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),15972746.81,3.5056
Canada,2008,Export,Stone and Glass,Micro Export (US$ Thousand),14390114.21,3.1583
Canada,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),3247646.322,0.7128
Canada,2008,Export,Transportation,Micro Export (US$ Thousand),61835978.25,13.5715
Canada,2008,Export,Vegetable,Micro Export (US$ Thousand),21147313.97,4.6413
Canada,2008,Export,Wood,Micro Export (US$ Thousand),29901784.15,6.5627
Canada,2008,Import,  All Products,Import (US$ Thousand),408762167.6,100
Canada,2008,Import, Capital goods,Macro Import (US$ Thousand),134855545,32.9912
Canada,2008,Import, Consumer goods,Macro Import (US$ Thousand),140526636.9,34.3786
Canada,2008,Import, Intermediate goods,Macro Import (US$ Thousand),72744335.79,17.7962
Canada,2008,Import, Raw materials,Macro Import (US$ Thousand),53145550.56,13.0016
Canada,2008,Import,Other,Macro Import (US$ Thousand),7490099.326,1.8324
Canada,2008,Import,Animal,Micro Import (US$ Thousand),3805439.068,0.931
Canada,2008,Import,Chemicals,Micro Import (US$ Thousand),34556408.31,8.4539
Canada,2008,Import,Food Products,Micro Import (US$ Thousand),13696781.04,3.3508
Canada,2008,Import,Footwear,Micro Import (US$ Thousand),2203019.162,0.5389
Canada,2008,Import,Fuels,Micro Import (US$ Thousand),50621958.43,12.3842
Canada,2008,Import,Hides and Skins,Micro Import (US$ Thousand),1499911.546,0.3669
Canada,2008,Import,Mach and Elec,Micro Import (US$ Thousand),99847854.3,24.4269
Canada,2008,Import,Metals,Micro Import (US$ Thousand),30651350.01,7.4986
Canada,2008,Import,Minerals,Micro Import (US$ Thousand),3497542.849,0.8556
Canada,2008,Import,Miscellaneous,Micro Import (US$ Thousand),32842840.27,8.0347
Canada,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),18704374.86,4.5759
Canada,2008,Import,Stone and Glass,Micro Import (US$ Thousand),13027345,3.187
Canada,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),11933317.77,2.9194
Canada,2008,Import,Transportation,Micro Import (US$ Thousand),68940371.3,16.8656
Canada,2008,Import,Vegetable,Micro Import (US$ Thousand),9914997.21,2.4256
Canada,2008,Import,Wood,Micro Import (US$ Thousand),13018656.43,3.1849
Canada,2009,Export,  All Products,Export (US$ Thousand),315176831.4,100
Canada,2009,Export, Capital goods,Macro Export (US$ Thousand),61462415.49,19.5009
Canada,2009,Export, Consumer goods,Macro Export (US$ Thousand),89944131.44,28.5377
Canada,2009,Export, Intermediate goods,Macro Export (US$ Thousand),77026746.9,24.4392
Canada,2009,Export, Raw materials,Macro Export (US$ Thousand),73729602.41,23.3931
Canada,2009,Export,Other,Macro Export (US$ Thousand),13013935.15,4.1291
Canada,2009,Export,Animal,Micro Export (US$ Thousand),8325007.917,2.6414
