reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
China,2008,Export,  All Products,Export (US$ Thousand),1430693066,100
China,2008,Export, Capital goods,Macro Export (US$ Thousand),632776919.3,44.2287
China,2008,Export, Consumer goods,Macro Export (US$ Thousand),497624109.8,34.782
China,2008,Export, Intermediate goods,Macro Export (US$ Thousand),267898640.5,18.7251
China,2008,Export, Raw materials,Macro Export (US$ Thousand),30685022.28,2.1448
China,2008,Export,Other,Macro Export (US$ Thousand),1708374.171,0.1194
China,2008,Export,Animal,Micro Export (US$ Thousand),8472851.121,0.5922
China,2008,Export,Chemicals,Micro Export (US$ Thousand),68827402.58,4.8108
China,2008,Export,Food Products,Micro Export (US$ Thousand),18207897.04,1.2727
China,2008,Export,Footwear,Micro Export (US$ Thousand),35999560.59,2.5162
China,2008,Export,Fuels,Micro Export (US$ Thousand),31773204.6,2.2208
China,2008,Export,Hides and Skins,Micro Export (US$ Thousand),18272546.87,1.2772
China,2008,Export,Mach and Elec,Micro Export (US$ Thousand),610633458.8,42.681
China,2008,Export,Metals,Micro Export (US$ Thousand),144015088.8,10.0661
China,2008,Export,Minerals,Micro Export (US$ Thousand),4712667.025,0.3294
China,2008,Export,Miscellaneous,Micro Export (US$ Thousand),132729803.7,9.2773
China,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),41519777.22,2.9021
China,2008,Export,Stone and Glass,Micro Export (US$ Thousand),31057343.85,2.1708
China,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),179734024.9,12.5627
China,2008,Export,Transportation,Micro Export (US$ Thousand),70697461.37,4.9415
China,2008,Export,Vegetable,Micro Export (US$ Thousand),12183779.74,0.8516
China,2008,Export,Wood,Micro Export (US$ Thousand),21856197.87,1.5277
China,2008,Import,  All Products,Import (US$ Thousand),1132562161,100
China,2008,Import, Capital goods,Macro Import (US$ Thousand),482078606.1,42.5653
China,2008,Import, Consumer goods,Macro Import (US$ Thousand),117176232,10.3461
China,2008,Import, Intermediate goods,Macro Import (US$ Thousand),231035512.9,20.3994
China,2008,Import, Raw materials,Macro Import (US$ Thousand),297664638.5,26.2824
China,2008,Import,Other,Macro Import (US$ Thousand),4607171.868,0.4068
China,2008,Import,Animal,Micro Import (US$ Thousand),7200481.552,0.6358
China,2008,Import,Chemicals,Micro Import (US$ Thousand),76462413.39,6.7513
China,2008,Import,Food Products,Micro Import (US$ Thousand),6091167.454,0.5378
