reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
France,2008,Export,  All Products,Export (US$ Thousand),594504995,100
France,2008,Export, Capital goods,Macro Export (US$ Thousand),198728664.4,33.4276
France,2008,Export, Consumer goods,Macro Export (US$ Thousand),220020630.9,37.009
France,2008,Export, Intermediate goods,Macro Export (US$ Thousand),126250363.6,21.2362
France,2008,Export, Raw materials,Macro Export (US$ Thousand),35872161.42,6.034
France,2008,Export,Other,Macro Export (US$ Thousand),13633174.74,2.2932
France,2008,Export,Animal,Micro Export (US$ Thousand),16604440.92,2.793
France,2008,Export,Chemicals,Micro Export (US$ Thousand),85657557.27,14.4082
France,2008,Export,Food Products,Micro Export (US$ Thousand),33687632.28,5.6665
France,2008,Export,Footwear,Micro Export (US$ Thousand),2404641.562,0.4045
France,2008,Export,Fuels,Micro Export (US$ Thousand),30141398.26,5.07
France,2008,Export,Hides and Skins,Micro Export (US$ Thousand),5440930.849,0.9152
France,2008,Export,Mach and Elec,Micro Export (US$ Thousand),122962742.5,20.6832
France,2008,Export,Metals,Micro Export (US$ Thousand),50960679.95,8.572
France,2008,Export,Minerals,Micro Export (US$ Thousand),1575760.471,0.2651
France,2008,Export,Miscellaneous,Micro Export (US$ Thousand),44499744.58,7.4852
France,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),30204897.59,5.0807
France,2008,Export,Stone and Glass,Micro Export (US$ Thousand),10807344.73,1.8179
France,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),18287079.46,3.076
France,2008,Export,Transportation,Micro Export (US$ Thousand),104890524,17.6433
France,2008,Export,Vegetable,Micro Export (US$ Thousand),20645785.9,3.4728
France,2008,Export,Wood,Micro Export (US$ Thousand),15733834.69,2.6465
France,2008,Import,  All Products,Import (US$ Thousand),695004283.3,100
France,2008,Import, Capital goods,Macro Import (US$ Thousand),174501529.3,25.108
France,2008,Import, Consumer goods,Macro Import (US$ Thousand),270492164.1,38.9195
France,2008,Import, Intermediate goods,Macro Import (US$ Thousand),154029783.2,22.1624
France,2008,Import, Raw materials,Macro Import (US$ Thousand),95660070.62,13.764
France,2008,Import,Other,Macro Import (US$ Thousand),320736.076,0.0461
France,2008,Import,Animal,Micro Import (US$ Thousand),14365665.01,2.067
France,2008,Import,Chemicals,Micro Import (US$ Thousand),73668924.89,10.5998
France,2008,Import,Food Products,Micro Import (US$ Thousand),25671909.26,3.6938
France,2008,Import,Footwear,Micro Import (US$ Thousand),6581286.066,0.9469
France,2008,Import,Fuels,Micro Import (US$ Thousand),117496799,16.9059
France,2008,Import,Hides and Skins,Micro Import (US$ Thousand),4149286.236,0.597
France,2008,Import,Mach and Elec,Micro Import (US$ Thousand),141573776.1,20.3702
France,2008,Import,Metals,Micro Import (US$ Thousand),58787684.22,8.4586
France,2008,Import,Minerals,Micro Import (US$ Thousand),4313030.769,0.6206
France,2008,Import,Miscellaneous,Micro Import (US$ Thousand),40065048.97,5.7647
France,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),33383110.27,4.8033
France,2008,Import,Stone and Glass,Micro Import (US$ Thousand),13436566.14,1.9333
France,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),30950463.58,4.4533
France,2008,Import,Transportation,Micro Import (US$ Thousand),89267839.23,12.8442
France,2008,Import,Vegetable,Micro Import (US$ Thousand),18932143.45,2.724
France,2008,Import,Wood,Micro Import (US$ Thousand),22360750.09,3.2174
France,2009,Export,  All Products,Export (US$ Thousand),464112811,100
France,2009,Export, Capital goods,Macro Export (US$ Thousand),154757384.7,33.3448
France,2009,Export, Consumer goods,Macro Export (US$ Thousand),178213694,38.3988
France,2009,Export, Intermediate goods,Macro Export (US$ Thousand),92664796.56,19.966
France,2009,Export, Raw materials,Macro Export (US$ Thousand),26912954.16,5.7988
France,2009,Export,Other,Macro Export (US$ Thousand),11563981.57,2.4916
France,2009,Export,Animal,Micro Export (US$ Thousand),14433790.82,3.11
France,2009,Export,Chemicals,Micro Export (US$ Thousand),75994035.44,16.374
France,2009,Export,Food Products,Micro Export (US$ Thousand),29499407.77,6.3561
France,2009,Export,Footwear,Micro Export (US$ Thousand),2155689.22,0.4645
France,2009,Export,Fuels,Micro Export (US$ Thousand),16391838.83,3.5319
France,2009,Export,Hides and Skins,Micro Export (US$ Thousand),4885992.159,1.0528
France,2009,Export,Mach and Elec,Micro Export (US$ Thousand),94290455.5,20.3163
France,2009,Export,Metals,Micro Export (US$ Thousand),32374117.15,6.9755
France,2009,Export,Minerals,Micro Export (US$ Thousand),1070695.839,0.2307
France,2009,Export,Miscellaneous,Micro Export (US$ Thousand),37794329.79,8.1433
France,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),22571534.34,4.8634
France,2009,Export,Stone and Glass,Micro Export (US$ Thousand),8427087.124,1.8157
France,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),15004431.07,3.2329
France,2009,Export,Transportation,Micro Export (US$ Thousand),80628745.94,17.3727
France,2009,Export,Vegetable,Micro Export (US$ Thousand),15792011.65,3.4026
France,2009,Export,Wood,Micro Export (US$ Thousand),12798648.35,2.7577
France,2009,Import,  All Products,Import (US$ Thousand),540502282.9,100
France,2009,Import, Capital goods,Macro Import (US$ Thousand),135518485,25.0727
France,2009,Import, Consumer goods,Macro Import (US$ Thousand),228130862.9,42.2072
France,2009,Import, Intermediate goods,Macro Import (US$ Thousand),116231789.8,21.5044
France,2009,Import, Raw materials,Macro Import (US$ Thousand),60375336.61,11.1702
France,2009,Import,Other,Macro Import (US$ Thousand),245808.528,0.0455
France,2009,Import,Animal,Micro Import (US$ Thousand),13419978.03,2.4829
France,2009,Import,Chemicals,Micro Import (US$ Thousand),66761032.98,12.3517
France,2009,Import,Food Products,Micro Import (US$ Thousand),23768138.4,4.3974
France,2009,Import,Footwear,Micro Import (US$ Thousand),6134345.729,1.1349
France,2009,Import,Fuels,Micro Import (US$ Thousand),71975420.13,13.3164
France,2009,Import,Hides and Skins,Micro Import (US$ Thousand),3433413.719,0.6352
France,2009,Import,Mach and Elec,Micro Import (US$ Thousand),111647127,20.6562
France,2009,Import,Metals,Micro Import (US$ Thousand),35819335.64,6.627
France,2009,Import,Minerals,Micro Import (US$ Thousand),2568652.787,0.4752
France,2009,Import,Miscellaneous,Micro Import (US$ Thousand),34778912.12,6.4346
France,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),26229700.6,4.8528
France,2009,Import,Stone and Glass,Micro Import (US$ Thousand),10648916.73,1.9702
France,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),26947388.08,4.9856
France,2009,Import,Transportation,Micro Import (US$ Thousand),71681771.49,13.2621
France,2009,Import,Vegetable,Micro Import (US$ Thousand),16249733.25,3.0064
France,2009,Import,Wood,Micro Import (US$ Thousand),18438416.21,3.4113
France,2010,Export,  All Products,Export (US$ Thousand),511651042.7,100
France,2010,Export, Capital goods,Macro Export (US$ Thousand),178586571,34.904
France,2010,Export, Consumer goods,Macro Export (US$ Thousand),185224859.8,36.2014
France,2010,Export, Intermediate goods,Macro Export (US$ Thousand),103770642.9,20.2815
France,2010,Export, Raw materials,Macro Export (US$ Thousand),31438774.54,6.1446
France,2010,Export,Other,Macro Export (US$ Thousand),12630194.5,2.4685
France,2010,Export,Animal,Micro Export (US$ Thousand),14996427.77,2.931
France,2010,Export,Chemicals,Micro Export (US$ Thousand),79095266.29,15.4588
France,2010,Export,Food Products,Micro Export (US$ Thousand),31273654.73,6.1123
France,2010,Export,Footwear,Micro Export (US$ Thousand),2353053.223,0.4599
France,2010,Export,Fuels,Micro Export (US$ Thousand),18719104.68,3.6586
France,2010,Export,Hides and Skins,Micro Export (US$ Thousand),5709090.646,1.1158
France,2010,Export,Mach and Elec,Micro Export (US$ Thousand),101723571.5,19.8814
France,2010,Export,Metals,Micro Export (US$ Thousand),38269907.26,7.4797
France,2010,Export,Minerals,Micro Export (US$ Thousand),1271728.384,0.2486
France,2010,Export,Miscellaneous,Micro Export (US$ Thousand),39698462.73,7.7589
France,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),25444335.72,4.973
France,2010,Export,Stone and Glass,Micro Export (US$ Thousand),9910806.655,1.937
France,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),15062985.5,2.944
France,2010,Export,Transportation,Micro Export (US$ Thousand),97616497.89,19.0787
France,2010,Export,Vegetable,Micro Export (US$ Thousand),17203153.67,3.3623
France,2010,Export,Wood,Micro Export (US$ Thousand),13302996.1,2.6
France,2010,Import,  All Products,Import (US$ Thousand),599171506.1,100
France,2010,Import, Capital goods,Macro Import (US$ Thousand),156871317,26.1814
France,2010,Import, Consumer goods,Macro Import (US$ Thousand),242022963.4,40.3929
France,2010,Import, Intermediate goods,Macro Import (US$ Thousand),131983683.9,22.0277
France,2010,Import, Raw materials,Macro Import (US$ Thousand),67998568.98,11.3488
France,2010,Import,Other,Macro Import (US$ Thousand),294972.848,0.0492
France,2010,Import,Animal,Micro Import (US$ Thousand),14073131.32,2.3488
France,2010,Import,Chemicals,Micro Import (US$ Thousand),70713372.81,11.8019
France,2010,Import,Food Products,Micro Import (US$ Thousand),23306827.35,3.8898
France,2010,Import,Footwear,Micro Import (US$ Thousand),6666597.997,1.1126
France,2010,Import,Fuels,Micro Import (US$ Thousand),82758894.9,13.8122
France,2010,Import,Hides and Skins,Micro Import (US$ Thousand),3891320.625,0.6495
France,2010,Import,Mach and Elec,Micro Import (US$ Thousand),123272138.2,20.5738
France,2010,Import,Metals,Micro Import (US$ Thousand),43672067.14,7.2887
France,2010,Import,Minerals,Micro Import (US$ Thousand),3871199.892,0.6461
France,2010,Import,Miscellaneous,Micro Import (US$ Thousand),37821420.54,6.3123
France,2010,Import,Plastic or Rubber,Micro Import (US$ Thousand),30534253.01,5.0961
France,2010,Import,Stone and Glass,Micro Import (US$ Thousand),12133657,2.0251
France,2010,Import,Textiles and Clothing,Micro Import (US$ Thousand),28039630.7,4.6797
France,2010,Import,Transportation,Micro Import (US$ Thousand),82376145.01,13.7483
France,2010,Import,Vegetable,Micro Import (US$ Thousand),16765329.15,2.7981
France,2010,Import,Wood,Micro Import (US$ Thousand),19275520.5,3.217
France,2011,Export,  All Products,Export (US$ Thousand),585723823.8,100
France,2011,Export, Capital goods,Macro Export (US$ Thousand),198094040,33.8204
France,2011,Export, Consumer goods,Macro Export (US$ Thousand),211695245.1,36.1425
France,2011,Export, Intermediate goods,Macro Export (US$ Thousand),121478167.3,20.7398
France,2011,Export, Raw materials,Macro Export (US$ Thousand),39468869.37,6.7385
France,2011,Export,Other,Macro Export (US$ Thousand),14987502.04,2.5588
France,2011,Export,Animal,Micro Export (US$ Thousand),17478576.94,2.9841
France,2011,Export,Chemicals,Micro Export (US$ Thousand),85866235.29,14.6599
France,2011,Export,Food Products,Micro Export (US$ Thousand),36498497.22,6.2313
France,2011,Export,Footwear,Micro Export (US$ Thousand),2892661.186,0.4939
France,2011,Export,Fuels,Micro Export (US$ Thousand),26614809.93,4.5439
France,2011,Export,Hides and Skins,Micro Export (US$ Thousand),7352497.174,1.2553
France,2011,Export,Mach and Elec,Micro Export (US$ Thousand),113865720.4,19.4402
France,2011,Export,Metals,Micro Export (US$ Thousand),44903829.19,7.6664
France,2011,Export,Minerals,Micro Export (US$ Thousand),1389166.166,0.2372
France,2011,Export,Miscellaneous,Micro Export (US$ Thousand),45152477.73,7.7088
France,2011,Export,Plastic or Rubber,Micro Export (US$ Thousand),29834082.03,5.0935
France,2011,Export,Stone and Glass,Micro Export (US$ Thousand),13176697.65,2.2496
France,2011,Export,Textiles and Clothing,Micro Export (US$ Thousand),16511312.11,2.819
France,2011,Export,Transportation,Micro Export (US$ Thousand),106678216.1,18.2131
France,2011,Export,Vegetable,Micro Export (US$ Thousand),22911115.23,3.9116
France,2011,Export,Wood,Micro Export (US$ Thousand),14597929.41,2.4923
France,2011,Import,  All Products,Import (US$ Thousand),713675253.8,100
France,2011,Import, Capital goods,Macro Import (US$ Thousand),184477079.7,25.8489
France,2011,Import, Consumer goods,Macro Import (US$ Thousand),283551225.3,39.7311
France,2011,Import, Intermediate goods,Macro Import (US$ Thousand),155285141.4,21.7585
France,2011,Import, Raw materials,Macro Import (US$ Thousand),89720069.7,12.5716
France,2011,Import,Other,Macro Import (US$ Thousand),641737.679,0.0899
France,2011,Import,Animal,Micro Import (US$ Thousand),16029343.55,2.246
France,2011,Import,Chemicals,Micro Import (US$ Thousand),81602157.38,11.4341
France,2011,Import,Food Products,Micro Import (US$ Thousand),27068382.69,3.7928
France,2011,Import,Footwear,Micro Import (US$ Thousand),7642116.274,1.0708
France,2011,Import,Fuels,Micro Import (US$ Thousand),114983711.1,16.1115
France,2011,Import,Hides and Skins,Micro Import (US$ Thousand),5008015.284,0.7017
France,2011,Import,Mach and Elec,Micro Import (US$ Thousand),141493863.6,19.8261
France,2011,Import,Metals,Micro Import (US$ Thousand),53446307.44,7.4889
France,2011,Import,Minerals,Micro Import (US$ Thousand),4569144.464,0.6402
France,2011,Import,Miscellaneous,Micro Import (US$ Thousand),42395430.6,5.9404
France,2011,Import,Plastic or Rubber,Micro Import (US$ Thousand),35847535.28,5.0229
France,2011,Import,Stone and Glass,Micro Import (US$ Thousand),14475381.91,2.0283
France,2011,Import,Textiles and Clothing,Micro Import (US$ Thousand),31876467.69,4.4665
France,2011,Import,Transportation,Micro Import (US$ Thousand),96449272.52,13.5144
France,2011,Import,Vegetable,Micro Import (US$ Thousand),19366788.52,2.7137
France,2011,Import,Wood,Micro Import (US$ Thousand),21421335.48,3.0016
France,2012,Export,  All Products,Export (US$ Thousand),558460545.5,100
France,2012,Export, Capital goods,Macro Export (US$ Thousand),193751795.1,34.6939
France,2012,Export, Consumer goods,Macro Export (US$ Thousand),203366962.7,36.4156
France,2012,Export, Intermediate goods,Macro Export (US$ Thousand),112155826.2,20.083
France,2012,Export, Raw materials,Macro Export (US$ Thousand),35140027.8,6.2923
France,2012,Export,Other,Macro Export (US$ Thousand),14045933.68,2.5152
France,2012,Export,Animal,Micro Export (US$ Thousand),16468853.57,2.949
France,2012,Export,Chemicals,Micro Export (US$ Thousand),84041454.84,15.0488
France,2012,Export,Food Products,Micro Export (US$ Thousand),36390802.75,6.5163
France,2012,Export,Footwear,Micro Export (US$ Thousand),2958959.618,0.5298
France,2012,Export,Fuels,Micro Export (US$ Thousand),24837497.75,4.4475
France,2012,Export,Hides and Skins,Micro Export (US$ Thousand),7637536.605,1.3676
France,2012,Export,Mach and Elec,Micro Export (US$ Thousand),108270118.4,19.3872
France,2012,Export,Metals,Micro Export (US$ Thousand),39505633.3,7.074
France,2012,Export,Minerals,Micro Export (US$ Thousand),1357451.974,0.2431
France,2012,Export,Miscellaneous,Micro Export (US$ Thousand),42984695.42,7.697
France,2012,Export,Plastic or Rubber,Micro Export (US$ Thousand),27650658.84,4.9512
France,2012,Export,Stone and Glass,Micro Export (US$ Thousand),13127241.67,2.3506
France,2012,Export,Textiles and Clothing,Micro Export (US$ Thousand),15040980.65,2.6933
France,2012,Export,Transportation,Micro Export (US$ Thousand),105272661.8,18.8505
