reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_dollars
Germany,2008,Export,  All Products,Export (US$ Thousand),1457462950,100
Germany,2008,Export, Capital goods,Macro Export (US$ Thousand),560018891.5,38.4242
Germany,2008,Export, Consumer goods,Macro Export (US$ Thousand),491212573.8,33.7033
Germany,2008,Export, Intermediate goods,Macro Export (US$ Thousand),288642529.1,19.8045
Germany,2008,Export, Raw materials,Macro Export (US$ Thousand),42716995.93,2.9309
Germany,2008,Export,Other,Macro Export (US$ Thousand),74871960.02,5.1371
Germany,2008,Export,Animal,Micro Export (US$ Thousand),22956497.08,1.5751
Germany,2008,Export,Chemicals,Micro Export (US$ Thousand),163666965.4,11.2296
Germany,2008,Export,Food Products,Micro Export (US$ Thousand),38774358.28,2.6604
Germany,2008,Export,Footwear,Micro Export (US$ Thousand),4844748.64,0.3324
Germany,2008,Export,Fuels,Micro Export (US$ Thousand),38852040.53,2.6657
Germany,2008,Export,Hides and Skins,Micro Export (US$ Thousand),3588291.696,0.2462
Germany,2008,Export,Mach and Elec,Micro Export (US$ Thousand),416164365.1,28.554
Germany,2008,Export,Metals,Micro Export (US$ Thousand),133984129.5,9.193
Germany,2008,Export,Minerals,Micro Export (US$ Thousand),3705008.463,0.2542
Germany,2008,Export,Miscellaneous,Micro Export (US$ Thousand),152552885.5,10.467
Germany,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),70176680.54,4.815
Germany,2008,Export,Stone and Glass,Micro Export (US$ Thousand),28759745.81,1.9733
Germany,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),35984476.84,2.469
Germany,2008,Export,Transportation,Micro Export (US$ Thousand),278987008.6,19.142
Germany,2008,Export,Vegetable,Micro Export (US$ Thousand),17908024.58,1.2287
Germany,2008,Export,Wood,Micro Export (US$ Thousand),46557723.84,3.1944
Germany,2008,Import,  All Products,Import (US$ Thousand),1192581759,100
Germany,2008,Import, Capital goods,Macro Import (US$ Thousand),342183494.4,28.6927
Germany,2008,Import, Consumer goods,Macro Import (US$ Thousand),384628161.2,32.2517
Germany,2008,Import, Intermediate goods,Macro Import (US$ Thousand),260948332.2,21.881
Germany,2008,Import, Raw materials,Macro Import (US$ Thousand),155884496.1,13.0712
Germany,2008,Import,Other,Macro Import (US$ Thousand),48937274.95,4.1034
Germany,2008,Import,Animal,Micro Import (US$ Thousand),22850412.17,1.916
Germany,2008,Import,Chemicals,Micro Import (US$ Thousand),121765700.3,10.2103
Germany,2008,Import,Food Products,Micro Import (US$ Thousand),35160668.33,2.9483
Germany,2008,Import,Footwear,Micro Import (US$ Thousand),8628663.518,0.7235
Germany,2008,Import,Fuels,Micro Import (US$ Thousand),168178023.9,14.102
Germany,2008,Import,Hides and Skins,Micro Import (US$ Thousand),4975922.904,0.4172
Germany,2008,Import,Mach and Elec,Micro Import (US$ Thousand),275326443.8,23.0866
Germany,2008,Import,Metals,Micro Import (US$ Thousand),119523158.5,10.0222
Germany,2008,Import,Minerals,Micro Import (US$ Thousand),11966353.89,1.0034
Germany,2008,Import,Miscellaneous,Micro Import (US$ Thousand),89943338.59,7.5419
Germany,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),54227956.59,4.5471
Germany,2008,Import,Stone and Glass,Micro Import (US$ Thousand),26819083.4,2.2488
Germany,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),49533509.1,4.1535
Germany,2008,Import,Transportation,Micro Import (US$ Thousand),131809800.1,11.0525
Germany,2008,Import,Vegetable,Micro Import (US$ Thousand),37879548.14,3.1763
Germany,2008,Import,Wood,Micro Import (US$ Thousand),33993175.63,2.8504
Germany,2009,Export,  All Products,Export (US$ Thousand),1125844048,100
Germany,2009,Export, Capital goods,Macro Export (US$ Thousand),419049564.7,37.2209
Germany,2009,Export, Consumer goods,Macro Export (US$ Thousand),395966967,35.1707
Germany,2009,Export, Intermediate goods,Macro Export (US$ Thousand),225004823.2,19.9854
Germany,2009,Export, Raw materials,Macro Export (US$ Thousand),33259094.89,2.9541
Germany,2009,Export,Other,Macro Export (US$ Thousand),52563598.07,4.6689
Germany,2009,Export,Animal,Micro Export (US$ Thousand),20332043.98,1.8059
Germany,2009,Export,Chemicals,Micro Export (US$ Thousand),144027315.8,12.7928
Germany,2009,Export,Food Products,Micro Export (US$ Thousand),36594193.86,3.2504
Germany,2009,Export,Footwear,Micro Export (US$ Thousand),4450444.588,0.3953
Germany,2009,Export,Fuels,Micro Export (US$ Thousand),24070185.58,2.138
Germany,2009,Export,Hides and Skins,Micro Export (US$ Thousand),2781934.644,0.2471
Germany,2009,Export,Mach and Elec,Micro Export (US$ Thousand),314493154.6,27.934
Germany,2009,Export,Metals,Micro Export (US$ Thousand),89286795.61,7.9307
Germany,2009,Export,Minerals,Micro Export (US$ Thousand),2872504.209,0.2551
Germany,2009,Export,Miscellaneous,Micro Export (US$ Thousand),117173722.3,10.4076
Germany,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),60662856.81,5.3882
