reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
India,2008,Export,  All Products,Export (US$ Thousand),181860898.3,100
India,2008,Export, Capital goods,Macro Export (US$ Thousand),20895068.14,11.4896
India,2008,Export, Consumer goods,Macro Export (US$ Thousand),77492787.67,42.611
India,2008,Export, Intermediate goods,Macro Export (US$ Thousand),62244352.91,34.2264
India,2008,Export, Raw materials,Macro Export (US$ Thousand),18277751.12,10.0504
India,2008,Export,Other,Macro Export (US$ Thousand),2950938.46,1.6226
India,2008,Export,Animal,Micro Export (US$ Thousand),2987399.654,1.6427
India,2008,Export,Chemicals,Micro Export (US$ Thousand),18805688.11,10.3407
India,2008,Export,Food Products,Micro Export (US$ Thousand),6172485.369,3.3941
India,2008,Export,Footwear,Micro Export (US$ Thousand),1800119.393,0.9898
India,2008,Export,Fuels,Micro Export (US$ Thousand),32868444.97,18.0734
India,2008,Export,Hides and Skins,Micro Export (US$ Thousand),2466025.626,1.356
India,2008,Export,Mach and Elec,Micro Export (US$ Thousand),14323222.46,7.8759
India,2008,Export,Metals,Micro Export (US$ Thousand),19474737.16,10.7086
India,2008,Export,Minerals,Micro Export (US$ Thousand),7783239.131,4.2798
India,2008,Export,Miscellaneous,Micro Export (US$ Thousand),5279825.349,2.9032
India,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),4489082.138,2.4684
India,2008,Export,Stone and Glass,Micro Export (US$ Thousand),21774431.49,11.9731
India,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),22610616.94,12.4329
India,2008,Export,Transportation,Micro Export (US$ Thousand),10206317.53,5.6122
India,2008,Export,Vegetable,Micro Export (US$ Thousand),9845055.393,5.4135
India,2008,Export,Wood,Micro Export (US$ Thousand),974207.581,0.5357
India,2008,Import,  All Products,Import (US$ Thousand),315712105.6,100
India,2008,Import, Capital goods,Macro Import (US$ Thousand),63382581.06,20.0761
India,2008,Import, Consumer goods,Macro Import (US$ Thousand),33068512.83,10.4743
India,2008,Import, Intermediate goods,Macro Import (US$ Thousand),89432342.12,28.3272
