reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Indonesia,2008,Export,  All Products,Export (US$ Thousand),137020424.4,100
Indonesia,2008,Export, Capital goods,Macro Export (US$ Thousand),13902203.36,10.1461
Indonesia,2008,Export, Consumer goods,Macro Export (US$ Thousand),43997128.19,32.1099
Indonesia,2008,Export, Intermediate goods,Macro Export (US$ Thousand),40617744.51,29.6436
Indonesia,2008,Export, Raw materials,Macro Export (US$ Thousand),38303969.56,27.9549
Indonesia,2008,Export,Other,Macro Export (US$ Thousand),199378.775,0.1455
Indonesia,2008,Export,Animal,Micro Export (US$ Thousand),2343347.148,1.7102
Indonesia,2008,Export,Chemicals,Micro Export (US$ Thousand),5008538.402,3.6553
Indonesia,2008,Export,Food Products,Micro Export (US$ Thousand),3703995.947,2.7032
Indonesia,2008,Export,Footwear,Micro Export (US$ Thousand),2048132.05,1.4948
Indonesia,2008,Export,Fuels,Micro Export (US$ Thousand),39782511.66,29.034
Indonesia,2008,Export,Hides and Skins,Micro Export (US$ Thousand),356606.881,0.2603
Indonesia,2008,Export,Mach and Elec,Micro Export (US$ Thousand),13477420.68,9.8361
Indonesia,2008,Export,Metals,Micro Export (US$ Thousand),9856772.895,7.1937
Indonesia,2008,Export,Minerals,Micro Export (US$ Thousand),4581531.286,3.3437
Indonesia,2008,Export,Miscellaneous,Micro Export (US$ Thousand),3473860.17,2.5353
Indonesia,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),9769643.826,7.1301
Indonesia,2008,Export,Stone and Glass,Micro Export (US$ Thousand),1939635.545,1.4156
Indonesia,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),10144881.4,7.4039
Indonesia,2008,Export,Transportation,Micro Export (US$ Thousand),3767409.642,2.7495
Indonesia,2008,Export,Vegetable,Micro Export (US$ Thousand),18609947.9,13.5819
Indonesia,2008,Export,Wood,Micro Export (US$ Thousand),8156188.987,5.9525
Indonesia,2008,Import,  All Products,Import (US$ Thousand),129244050.3,100
Indonesia,2008,Import, Capital goods,Macro Import (US$ Thousand),39365399.08,30.4582
Indonesia,2008,Import, Consumer goods,Macro Import (US$ Thousand),32824253.31,25.3971
Indonesia,2008,Import, Intermediate goods,Macro Import (US$ Thousand),37719797.11,29.1849
Indonesia,2008,Import, Raw materials,Macro Import (US$ Thousand),19305243.27,14.937
Indonesia,2008,Import,Other,Macro Import (US$ Thousand),29357.514,0.0228
Indonesia,2008,Import,Animal,Micro Import (US$ Thousand),1612886.28,1.2479
Indonesia,2008,Import,Chemicals,Micro Import (US$ Thousand),12740330.04,9.8576
Indonesia,2008,Import,Food Products,Micro Import (US$ Thousand),3511597.807,2.717
