reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Italy,2008,Export,  All Products,Export (US$ Thousand),541786282.7,100
Italy,2008,Export, Capital goods,Macro Export (US$ Thousand),182875043.9,33.7541
Italy,2008,Export, Consumer goods,Macro Export (US$ Thousand),217020637.1,40.0565
Italy,2008,Export, Intermediate goods,Macro Export (US$ Thousand),112746747.5,20.8102
Italy,2008,Export, Raw materials,Macro Export (US$ Thousand),14162258.18,2.614
Italy,2008,Export,Other,Macro Export (US$ Thousand),14981596.01,2.7652
Italy,2008,Export,Animal,Micro Export (US$ Thousand),5294046.925,0.9771
Italy,2008,Export,Chemicals,Micro Export (US$ Thousand),39867968.08,7.3586
Italy,2008,Export,Food Products,Micro Export (US$ Thousand),21070296.21,3.889
Italy,2008,Export,Footwear,Micro Export (US$ Thousand),11779930.11,2.1743
Italy,2008,Export,Fuels,Micro Export (US$ Thousand),24993277.02,4.6131
Italy,2008,Export,Hides and Skins,Micro Export (US$ Thousand),11113856.51,2.0513
Italy,2008,Export,Mach and Elec,Micro Export (US$ Thousand),147235809.5,27.176
Italy,2008,Export,Metals,Micro Export (US$ Thousand),62294411.9,11.498
Italy,2008,Export,Minerals,Micro Export (US$ Thousand),1254527.513,0.2316
Italy,2008,Export,Miscellaneous,Micro Export (US$ Thousand),48135785.3,8.8846
Italy,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),25571574.9,4.7199
Italy,2008,Export,Stone and Glass,Micro Export (US$ Thousand),22481386.68,4.1495
Italy,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),39693460.29,7.3264
Italy,2008,Export,Transportation,Micro Export (US$ Thousand),56490443.08,10.4267
Italy,2008,Export,Vegetable,Micro Export (US$ Thousand),11949351.45,2.2055
Italy,2008,Export,Wood,Micro Export (US$ Thousand),12560157.25,2.3183
Italy,2008,Import,  All Products,Import (US$ Thousand),560960371,100
Italy,2008,Import, Capital goods,Macro Import (US$ Thousand),112446189.4,20.0453
Italy,2008,Import, Consumer goods,Macro Import (US$ Thousand),157233984.8,28.0294
Italy,2008,Import, Intermediate goods,Macro Import (US$ Thousand),147160021.2,26.2336
Italy,2008,Import, Raw materials,Macro Import (US$ Thousand),100584694.8,17.9308
Italy,2008,Import,Other,Macro Import (US$ Thousand),43535480.76,7.7609
Italy,2008,Import,Animal,Micro Import (US$ Thousand),17223834.35,3.0704
Italy,2008,Import,Chemicals,Micro Import (US$ Thousand),52470168.07,9.3536
Italy,2008,Import,Food Products,Micro Import (US$ Thousand),15226559.4,2.7144
Italy,2008,Import,Footwear,Micro Import (US$ Thousand),6230790.258,1.1107
Italy,2008,Import,Fuels,Micro Import (US$ Thousand),79108236.19,14.1023
Italy,2008,Import,Hides and Skins,Micro Import (US$ Thousand),6821012.989,1.216
Italy,2008,Import,Mach and Elec,Micro Import (US$ Thousand),90108992.62,16.0633
Italy,2008,Import,Metals,Micro Import (US$ Thousand),62552599.96,11.151
Italy,2008,Import,Minerals,Micro Import (US$ Thousand),5112037.91,0.9113
Italy,2008,Import,Miscellaneous,Micro Import (US$ Thousand),64857803.58,11.5619
Italy,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),25364784.44,4.5217
Italy,2008,Import,Stone and Glass,Micro Import (US$ Thousand),13701647.25,2.4425
Italy,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),27209843.07,4.8506
Italy,2008,Import,Transportation,Micro Import (US$ Thousand),62174510.29,11.0836
Italy,2008,Import,Vegetable,Micro Import (US$ Thousand),16684875.11,2.9743
Italy,2008,Import,Wood,Micro Import (US$ Thousand),16112675.53,2.8723
Italy,2009,Export,  All Products,Export (US$ Thousand),406479126.9,100
Italy,2009,Export, Capital goods,Macro Export (US$ Thousand),134591946.8,33.1117
Italy,2009,Export, Consumer goods,Macro Export (US$ Thousand),166880363.7,41.0551
Italy,2009,Export, Intermediate goods,Macro Export (US$ Thousand),82628135.71,20.3278
Italy,2009,Export, Raw materials,Macro Export (US$ Thousand),11113909.56,2.7342
Italy,2009,Export,Other,Macro Export (US$ Thousand),11264771.18,2.7712
Italy,2009,Export,Animal,Micro Export (US$ Thousand),4821101.021,1.1861
Italy,2009,Export,Chemicals,Micro Export (US$ Thousand),34480092.96,8.4826
Italy,2009,Export,Food Products,Micro Export (US$ Thousand),19285061.84,4.7444
Italy,2009,Export,Footwear,Micro Export (US$ Thousand),9481966.784,2.3327
Italy,2009,Export,Fuels,Micro Export (US$ Thousand),14464022.95,3.5584
Italy,2009,Export,Hides and Skins,Micro Export (US$ Thousand),8378954.075,2.0613
Italy,2009,Export,Mach and Elec,Micro Export (US$ Thousand),110031084.4,27.0693
Italy,2009,Export,Metals,Micro Export (US$ Thousand),39349798.4,9.6806
Italy,2009,Export,Minerals,Micro Export (US$ Thousand),954006.2,0.2347
Italy,2009,Export,Miscellaneous,Micro Export (US$ Thousand),37341164.49,9.1865
