reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Japan,2008,Export,  All Products,Export (US$ Thousand),781412163.3,100
Japan,2008,Export, Capital goods,Macro Export (US$ Thousand),375636872.5,48.0715
Japan,2008,Export, Consumer goods,Macro Export (US$ Thousand),204501011.5,26.1707
Japan,2008,Export, Intermediate goods,Macro Export (US$ Thousand),154729480.7,19.8013
Japan,2008,Export, Raw materials,Macro Export (US$ Thousand),9666497.283,1.2371
Japan,2008,Export,Other,Macro Export (US$ Thousand),36878301.25,4.7194
Japan,2008,Export,Animal,Micro Export (US$ Thousand),1280364.676,0.1639
Japan,2008,Export,Chemicals,Micro Export (US$ Thousand),52718753.13,6.7466
Japan,2008,Export,Food Products,Micro Export (US$ Thousand),2309830.224,0.2956
Japan,2008,Export,Footwear,Micro Export (US$ Thousand),241477.48,0.0309
Japan,2008,Export,Fuels,Micro Export (US$ Thousand),18776418.35,2.4029
Japan,2008,Export,Hides and Skins,Micro Export (US$ Thousand),320242.098,0.041
Japan,2008,Export,Mach and Elec,Micro Export (US$ Thousand),289688084.8,37.0724
Japan,2008,Export,Metals,Micro Export (US$ Thousand),71411973.58,9.1388
Japan,2008,Export,Minerals,Micro Export (US$ Thousand),1022908.484,0.1309
Japan,2008,Export,Miscellaneous,Micro Export (US$ Thousand),80065073.8,10.2462
Japan,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),35604273,4.5564
Japan,2008,Export,Stone and Glass,Micro Export (US$ Thousand),17903257.41,2.2911
Japan,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),8731302.709,1.1174
Japan,2008,Export,Transportation,Micro Export (US$ Thousand),195682090.2,25.0421
Japan,2008,Export,Vegetable,Micro Export (US$ Thousand),667544.918,0.0854
Japan,2008,Export,Wood,Micro Export (US$ Thousand),4988568.484,0.6384
Japan,2008,Import,  All Products,Import (US$ Thousand),762533921.1,100
Japan,2008,Import, Capital goods,Macro Import (US$ Thousand),151177354,19.8257
Japan,2008,Import, Consumer goods,Macro Import (US$ Thousand),217790707.5,28.5614
Japan,2008,Import, Intermediate goods,Macro Import (US$ Thousand),111800913.9,14.6618
Japan,2008,Import, Raw materials,Macro Import (US$ Thousand),269709318.7,35.3701
Japan,2008,Import,Other,Macro Import (US$ Thousand),12055627.06,1.581
Japan,2008,Import,Animal,Micro Import (US$ Thousand),22260042.31,2.9192
Japan,2008,Import,Chemicals,Micro Import (US$ Thousand),47531585.97,6.2334
Japan,2008,Import,Food Products,Micro Import (US$ Thousand),20843948.5,2.7335
Japan,2008,Import,Footwear,Micro Import (US$ Thousand),5401819.401,0.7084
Japan,2008,Import,Fuels,Micro Import (US$ Thousand),267787474.1,35.1181
Japan,2008,Import,Hides and Skins,Micro Import (US$ Thousand),5719023.623,0.75
Japan,2008,Import,Mach and Elec,Micro Import (US$ Thousand),136655693.8,17.9213
Japan,2008,Import,Metals,Micro Import (US$ Thousand),41015685.55,5.3789
Japan,2008,Import,Minerals,Micro Import (US$ Thousand),30695760.28,4.0255
Japan,2008,Import,Miscellaneous,Micro Import (US$ Thousand),51328587.3,6.7313
Japan,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),17582940.26,2.3059
Japan,2008,Import,Stone and Glass,Micro Import (US$ Thousand),19145124.24,2.5107
Japan,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),31661484.41,4.1521
Japan,2008,Import,Transportation,Micro Import (US$ Thousand),22649769.59,2.9703
Japan,2008,Import,Vegetable,Micro Import (US$ Thousand),25480825.26,3.3416
Japan,2008,Import,Wood,Micro Import (US$ Thousand),16774156.52,2.1998
Japan,2009,Export,  All Products,Export (US$ Thousand),580718733.7,100
Japan,2009,Export, Capital goods,Macro Export (US$ Thousand),282501293.5,48.6468
Japan,2009,Export, Consumer goods,Macro Export (US$ Thousand),129823267.4,22.3556
Japan,2009,Export, Intermediate goods,Macro Export (US$ Thousand),125871792.5,21.6752
Japan,2009,Export, Raw materials,Macro Export (US$ Thousand),8258823.051,1.4222
Japan,2009,Export,Other,Macro Export (US$ Thousand),34263557.27,5.9002
Japan,2009,Export,Animal,Micro Export (US$ Thousand),1221081.825,0.2103
Japan,2009,Export,Chemicals,Micro Export (US$ Thousand),45906370.08,7.9051
Japan,2009,Export,Food Products,Micro Export (US$ Thousand),2447256.218,0.4214
Japan,2009,Export,Footwear,Micro Export (US$ Thousand),178931.821,0.0308
Japan,2009,Export,Fuels,Micro Export (US$ Thousand),10530649.89,1.8134
Japan,2009,Export,Hides and Skins,Micro Export (US$ Thousand),244533.502,0.0421
Japan,2009,Export,Mach and Elec,Micro Export (US$ Thousand),209391349.1,36.0573
Japan,2009,Export,Metals,Micro Export (US$ Thousand),53159759.09,9.1541
Japan,2009,Export,Minerals,Micro Export (US$ Thousand),727806.538,0.1253
Japan,2009,Export,Miscellaneous,Micro Export (US$ Thousand),69687018.97,12.0001
Japan,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),31418534.42,5.4103
Japan,2009,Export,Stone and Glass,Micro Export (US$ Thousand),15169144.79,2.6121
Japan,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),7401989.893,1.2746
Japan,2009,Export,Transportation,Micro Export (US$ Thousand),128372060.1,22.1057
Japan,2009,Export,Vegetable,Micro Export (US$ Thousand),626577.647,0.1079
Japan,2009,Export,Wood,Micro Export (US$ Thousand),4235669.884,0.7294
Japan,2009,Import,  All Products,Import (US$ Thousand),551984750.9,100
Japan,2009,Import, Capital goods,Macro Import (US$ Thousand),119912510.2,21.7239
Japan,2009,Import, Consumer goods,Macro Import (US$ Thousand),179520291.6,32.5227
Japan,2009,Import, Intermediate goods,Macro Import (US$ Thousand),78016863.38,14.1339
Japan,2009,Import, Raw materials,Macro Import (US$ Thousand),164226224.2,29.7519
Japan,2009,Import,Other,Macro Import (US$ Thousand),10308861.46,1.8676
Japan,2009,Import,Animal,Micro Import (US$ Thousand),19805642.72,3.5881
