reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Russia,2008,Export,  All Products,Export (US$ Thousand),467993954.6,100
Russia,2008,Export, Capital goods,Macro Export (US$ Thousand),15398641.55,3.2904
Russia,2008,Export, Consumer goods,Macro Export (US$ Thousand),157135587.1,33.5764
Russia,2008,Export, Intermediate goods,Macro Export (US$ Thousand),80915436.94,17.2898
Russia,2008,Export, Raw materials,Macro Export (US$ Thousand),176213635.5,37.653
Russia,2008,Export,Other,Macro Export (US$ Thousand),38330653.44,8.1904
Russia,2008,Export,Animal,Micro Export (US$ Thousand),812741.116,0.1737
Russia,2008,Export,Chemicals,Micro Export (US$ Thousand),21247059.46,4.54
Russia,2008,Export,Food Products,Micro Export (US$ Thousand),2763148.514,0.5904
Russia,2008,Export,Footwear,Micro Export (US$ Thousand),34556.793,0.0074
Russia,2008,Export,Fuels,Micro Export (US$ Thousand),307371505.4,65.6785
Russia,2008,Export,Hides and Skins,Micro Export (US$ Thousand),302643.572,0.0647
Russia,2008,Export,Mach and Elec,Micro Export (US$ Thousand),10422130.19,2.227
Russia,2008,Export,Metals,Micro Export (US$ Thousand),51572479.48,11.0199
Russia,2008,Export,Minerals,Micro Export (US$ Thousand),4596634.839,0.9822
Russia,2008,Export,Miscellaneous,Micro Export (US$ Thousand),40137990.44,8.5766
Russia,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),4242772.765,0.9066
Russia,2008,Export,Stone and Glass,Micro Export (US$ Thousand),2527149.729,0.54
Russia,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),446308.72,0.0954
Russia,2008,Export,Transportation,Micro Export (US$ Thousand),5547076.371,1.1853
Russia,2008,Export,Vegetable,Micro Export (US$ Thousand),4815722.36,1.029
Russia,2008,Export,Wood,Micro Export (US$ Thousand),11154034.8,2.3834
Russia,2008,Import,  All Products,Import (US$ Thousand),267051243.5,100
Russia,2008,Import, Capital goods,Macro Import (US$ Thousand),96084357.26,35.9797
Russia,2008,Import, Consumer goods,Macro Import (US$ Thousand),95322285.9,35.6944
Russia,2008,Import, Intermediate goods,Macro Import (US$ Thousand),38647302.39,14.4719
Russia,2008,Import, Raw materials,Macro Import (US$ Thousand),23528277.5,8.8104
Russia,2008,Import,Other,Macro Import (US$ Thousand),13469020.5,5.0436
Russia,2008,Import,Animal,Micro Import (US$ Thousand),11292112.71,4.2284
Russia,2008,Import,Chemicals,Micro Import (US$ Thousand),23027706.7,8.623
Russia,2008,Import,Food Products,Micro Import (US$ Thousand),11022363.28,4.1274
Russia,2008,Import,Footwear,Micro Import (US$ Thousand),3112006.656,1.1653
Russia,2008,Import,Fuels,Micro Import (US$ Thousand),4080378.08,1.5279
Russia,2008,Import,Hides and Skins,Micro Import (US$ Thousand),996215.054,0.373
Russia,2008,Import,Mach and Elec,Micro Import (US$ Thousand),74019266.63,27.7173
Russia,2008,Import,Metals,Micro Import (US$ Thousand),17370563.3,6.5046
Russia,2008,Import,Minerals,Micro Import (US$ Thousand),4060590.092,1.5205
Russia,2008,Import,Miscellaneous,Micro Import (US$ Thousand),26534159.34,9.936
Russia,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),11084907.83,4.1509
Russia,2008,Import,Stone and Glass,Micro Import (US$ Thousand),3140241.457,1.1759
Russia,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),7696713.087,2.8821
Russia,2008,Import,Transportation,Micro Import (US$ Thousand),52339241.34,19.599
Russia,2008,Import,Vegetable,Micro Import (US$ Thousand),11100788.46,4.1568
Russia,2008,Import,Wood,Micro Import (US$ Thousand),6173989.531,2.3119
Russia,2009,Export,  All Products,Export (US$ Thousand),301796058.8,100
Russia,2009,Export, Capital goods,Macro Export (US$ Thousand),11197470.42,3.7103
Russia,2009,Export, Consumer goods,Macro Export (US$ Thousand),96629750.66,32.0182
Russia,2009,Export, Intermediate goods,Macro Export (US$ Thousand),51059983.8,16.9187
Russia,2009,Export, Raw materials,Macro Export (US$ Thousand),112398475.9,37.2432
Russia,2009,Export,Other,Macro Export (US$ Thousand),30510378.06,10.1096
Russia,2009,Export,Animal,Micro Export (US$ Thousand),1982410.764,0.6569
Russia,2009,Export,Chemicals,Micro Export (US$ Thousand),11427970.47,3.7867
Russia,2009,Export,Food Products,Micro Export (US$ Thousand),2393628.643,0.7931
Russia,2009,Export,Footwear,Micro Export (US$ Thousand),33247.22,0.011
Russia,2009,Export,Fuels,Micro Export (US$ Thousand),190171159.1,63.0131
Russia,2009,Export,Hides and Skins,Micro Export (US$ Thousand),207180.694,0.0686
Russia,2009,Export,Mach and Elec,Micro Export (US$ Thousand),8199698.959,2.717
Russia,2009,Export,Metals,Micro Export (US$ Thousand),32071448.09,10.6269
Russia,2009,Export,Minerals,Micro Export (US$ Thousand),2050054.636,0.6793
Russia,2009,Export,Miscellaneous,Micro Export (US$ Thousand),32002008.15,10.6039
Russia,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),3135761.77,1.039
Russia,2009,Export,Stone and Glass,Micro Export (US$ Thousand),1968853.953,0.6524
Russia,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),361678.213,0.1198
Russia,2009,Export,Transportation,Micro Export (US$ Thousand),2715290.164,0.8997
Russia,2009,Export,Vegetable,Micro Export (US$ Thousand),4907596.653,1.6261
Russia,2009,Export,Wood,Micro Export (US$ Thousand),8168071.309,2.7065
Russia,2009,Import,  All Products,Import (US$ Thousand),170826590.3,100
Russia,2009,Import, Capital goods,Macro Import (US$ Thousand),54281452.48,31.7758
Russia,2009,Import, Consumer goods,Macro Import (US$ Thousand),58263069.88,34.1066
Russia,2009,Import, Intermediate goods,Macro Import (US$ Thousand),25222671.2,14.7651
Russia,2009,Import, Raw materials,Macro Import (US$ Thousand),19363280.13,11.3351
Russia,2009,Import,Other,Macro Import (US$ Thousand),13696116.62,8.0174
Russia,2009,Import,Animal,Micro Import (US$ Thousand),9783782.966,5.7273
Russia,2009,Import,Chemicals,Micro Import (US$ Thousand),19669399.97,11.5142
Russia,2009,Import,Food Products,Micro Import (US$ Thousand),8820115.861,5.1632
Russia,2009,Import,Footwear,Micro Import (US$ Thousand),2397184.916,1.4033
Russia,2009,Import,Fuels,Micro Import (US$ Thousand),2378581.126,1.3924
Russia,2009,Import,Hides and Skins,Micro Import (US$ Thousand),741817.902,0.4343
Russia,2009,Import,Mach and Elec,Micro Import (US$ Thousand),46007517.38,26.9323
Russia,2009,Import,Metals,Micro Import (US$ Thousand),10302059.32,6.0307
Russia,2009,Import,Minerals,Micro Import (US$ Thousand),1608031.942,0.9413
Russia,2009,Import,Miscellaneous,Micro Import (US$ Thousand),22120159.19,12.9489
Russia,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),7395237.761,4.3291
Russia,2009,Import,Stone and Glass,Micro Import (US$ Thousand),1887433.129,1.1049
Russia,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),6478039.627,3.7922
Russia,2009,Import,Transportation,Micro Import (US$ Thousand),16517131.84,9.6689
Russia,2009,Import,Vegetable,Micro Import (US$ Thousand),9810984.433,5.7432
Russia,2009,Import,Wood,Micro Import (US$ Thousand),4909112.948,2.8737
Russia,2010,Export,  All Products,Export (US$ Thousand),397067521,100
Russia,2010,Export, Capital goods,Macro Export (US$ Thousand),11061625.13,2.7858
Russia,2010,Export, Consumer goods,Macro Export (US$ Thousand),129305198.8,32.565
Russia,2010,Export, Intermediate goods,Macro Export (US$ Thousand),62885464.47,15.8375
Russia,2010,Export, Raw materials,Macro Export (US$ Thousand),151098866.2,38.0537
Russia,2010,Export,Other,Macro Export (US$ Thousand),42716366.38,10.758
Russia,2010,Export,Animal,Micro Export (US$ Thousand),2316930.924,0.5835
Russia,2010,Export,Chemicals,Micro Export (US$ Thousand),14956636.51,3.7668
Russia,2010,Export,Food Products,Micro Export (US$ Thousand),1833223.054,0.4617
Russia,2010,Export,Footwear,Micro Export (US$ Thousand),28778.105,0.0072
Russia,2010,Export,Fuels,Micro Export (US$ Thousand),260668050.8,65.6483
Russia,2010,Export,Hides and Skins,Micro Export (US$ Thousand),258651.403,0.0651
Russia,2010,Export,Mach and Elec,Micro Export (US$ Thousand),7796050.821,1.9634
Russia,2010,Export,Metals,Micro Export (US$ Thousand),38534987.88,9.7049
Russia,2010,Export,Minerals,Micro Export (US$ Thousand),3030802.393,0.7633
Russia,2010,Export,Miscellaneous,Micro Export (US$ Thousand),44416384.86,11.1861
Russia,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),4004778.042,1.0086
Russia,2010,Export,Stone and Glass,Micro Export (US$ Thousand),3291583.551,0.829
Russia,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),337269.193,0.0849
Russia,2010,Export,Transportation,Micro Export (US$ Thousand),3195268.859,0.8047
Russia,2010,Export,Vegetable,Micro Export (US$ Thousand),3417227.844,0.8606
Russia,2010,Export,Wood,Micro Export (US$ Thousand),8980896.739,2.2618
Russia,2010,Import,  All Products,Import (US$ Thousand),228911658.1,100
Russia,2010,Import, Capital goods,Macro Import (US$ Thousand),76331957.79,33.3456
Russia,2010,Import, Consumer goods,Macro Import (US$ Thousand),79797433.09,34.8595
Russia,2010,Import, Intermediate goods,Macro Import (US$ Thousand),34244948.14,14.9599
Russia,2010,Import, Raw materials,Macro Import (US$ Thousand),19846806.13,8.6701
Russia,2010,Import,Other,Macro Import (US$ Thousand),18690513,8.1649
Russia,2010,Import,Animal,Micro Import (US$ Thousand),10370283.16,4.5303
Russia,2010,Import,Chemicals,Micro Import (US$ Thousand),24720834.18,10.7993
Russia,2010,Import,Food Products,Micro Import (US$ Thousand),11011167.88,4.8102
Russia,2010,Import,Footwear,Micro Import (US$ Thousand),4121514.042,1.8005
Russia,2010,Import,Fuels,Micro Import (US$ Thousand),2772064.396,1.211
Russia,2010,Import,Hides and Skins,Micro Import (US$ Thousand),1212483.571,0.5297
Russia,2010,Import,Mach and Elec,Micro Import (US$ Thousand),62753401.63,27.4138
Russia,2010,Import,Metals,Micro Import (US$ Thousand),14926259.1,6.5205
Russia,2010,Import,Minerals,Micro Import (US$ Thousand),889183.13,0.3884
Russia,2010,Import,Miscellaneous,Micro Import (US$ Thousand),29938059.3,13.0784
Russia,2010,Import,Plastic or Rubber,Micro Import (US$ Thousand),10662943.32,4.6581
Russia,2010,Import,Stone and Glass,Micro Import (US$ Thousand),2642691.149,1.1545
Russia,2010,Import,Textiles and Clothing,Micro Import (US$ Thousand),9059267.82,3.9575
Russia,2010,Import,Transportation,Micro Import (US$ Thousand),25865825.2,11.2995
Russia,2010,Import,Vegetable,Micro Import (US$ Thousand),12330909.57,5.3868
Russia,2010,Import,Wood,Micro Import (US$ Thousand),5634770.708,2.4615
Russia,2011,Export,  All Products,Export (US$ Thousand),516992618.2,100
Russia,2011,Export, Capital goods,Macro Export (US$ Thousand),11445336.7,2.2138
Russia,2011,Export, Consumer goods,Macro Export (US$ Thousand),170629677.5,33.0043
Russia,2011,Export, Intermediate goods,Macro Export (US$ Thousand),75411119.28,14.5865
Russia,2011,Export, Raw materials,Macro Export (US$ Thousand),203482715.2,39.3589
Russia,2011,Export,Other,Macro Export (US$ Thousand),56023769.54,10.8365
Russia,2011,Export,Animal,Micro Export (US$ Thousand),2565822.077,0.4963
Russia,2011,Export,Chemicals,Micro Export (US$ Thousand),20372562.53,3.9406
Russia,2011,Export,Food Products,Micro Export (US$ Thousand),2353934.109,0.4553
Russia,2011,Export,Footwear,Micro Export (US$ Thousand),36271.042,0.007
Russia,2011,Export,Fuels,Micro Export (US$ Thousand),346530198.2,67.0281
Russia,2011,Export,Hides and Skins,Micro Export (US$ Thousand),331250.09,0.0641
Russia,2011,Export,Mach and Elec,Micro Export (US$ Thousand),8635410.728,1.6703
Russia,2011,Export,Metals,Micro Export (US$ Thousand),42920568.6,8.302
Russia,2011,Export,Minerals,Micro Export (US$ Thousand),5396183.808,1.0438
Russia,2011,Export,Miscellaneous,Micro Export (US$ Thousand),57619307.86,11.1451
Russia,2011,Export,Plastic or Rubber,Micro Export (US$ Thousand),5447330.21,1.0537
Russia,2011,Export,Stone and Glass,Micro Export (US$ Thousand),4426157.987,0.8561
Russia,2011,Export,Textiles and Clothing,Micro Export (US$ Thousand),401607.605,0.0777
Russia,2011,Export,Transportation,Micro Export (US$ Thousand),3182945.977,0.6157
Russia,2011,Export,Vegetable,Micro Export (US$ Thousand),6427068.287,1.2432
Russia,2011,Export,Wood,Micro Export (US$ Thousand),10345999.14,2.0012
Russia,2011,Import,  All Products,Import (US$ Thousand),306091490.3,100
Russia,2011,Import, Capital goods,Macro Import (US$ Thousand),108497918,35.4462
Russia,2011,Import, Consumer goods,Macro Import (US$ Thousand),102012084.7,33.3273
Russia,2011,Import, Intermediate goods,Macro Import (US$ Thousand),44380903.15,14.4992
Russia,2011,Import, Raw materials,Macro Import (US$ Thousand),23243031.48,7.5935
Russia,2011,Import,Other,Macro Import (US$ Thousand),27957552.94,9.1338
Russia,2011,Import,Animal,Micro Import (US$ Thousand),11350137.7,3.7081
Russia,2011,Import,Chemicals,Micro Import (US$ Thousand),29825954.45,9.7441
Russia,2011,Import,Food Products,Micro Import (US$ Thousand),13063186.64,4.2677
Russia,2011,Import,Footwear,Micro Import (US$ Thousand),4412145.334,1.4414
Russia,2011,Import,Fuels,Micro Import (US$ Thousand),4900494.98,1.601
Russia,2011,Import,Hides and Skins,Micro Import (US$ Thousand),1476021.695,0.4822
Russia,2011,Import,Mach and Elec,Micro Import (US$ Thousand),82609820.92,26.9886
Russia,2011,Import,Metals,Micro Import (US$ Thousand),19833179.73,6.4795
Russia,2011,Import,Minerals,Micro Import (US$ Thousand),1320022.998,0.4313
Russia,2011,Import,Miscellaneous,Micro Import (US$ Thousand),42241873.54,13.8004
Russia,2011,Import,Plastic or Rubber,Micro Import (US$ Thousand),14014603.56,4.5786
Russia,2011,Import,Stone and Glass,Micro Import (US$ Thousand),3465147.017,1.1321
Russia,2011,Import,Textiles and Clothing,Micro Import (US$ Thousand),11131940.48,3.6368
Russia,2011,Import,Transportation,Micro Import (US$ Thousand),45090686.52,14.7311
Russia,2011,Import,Vegetable,Micro Import (US$ Thousand),14944105.87,4.8822
Russia,2011,Import,Wood,Micro Import (US$ Thousand),6412168.867,2.0949
Russia,2012,Export,  All Products,Export (US$ Thousand),524766420.6,100
Russia,2012,Export, Capital goods,Macro Export (US$ Thousand),17578292.98,3.3497
Russia,2012,Export, Consumer goods,Macro Export (US$ Thousand),188834920.2,35.9846
Russia,2012,Export, Intermediate goods,Macro Export (US$ Thousand),89154151,16.9893
Russia,2012,Export, Raw materials,Macro Export (US$ Thousand),216487799,41.2541
Russia,2012,Export,Other,Macro Export (US$ Thousand),12711257.37,2.4223
Russia,2012,Export,Animal,Micro Export (US$ Thousand),2923012.301,0.557
