reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Saudi Arabia,2008,Export,  All Products,Export (US$ Thousand),312999364,100
Saudi Arabia,2008,Export, Capital goods,Macro Export (US$ Thousand),3995232.971,1.2764
Saudi Arabia,2008,Export, Consumer goods,Macro Export (US$ Thousand),39495385.36,12.6184
Saudi Arabia,2008,Export, Intermediate goods,Macro Export (US$ Thousand),21156589.63,6.7593
Saudi Arabia,2008,Export, Raw materials,Macro Export (US$ Thousand),248283780.5,79.3241
Saudi Arabia,2008,Export,Other,Macro Export (US$ Thousand),68375.614,0.0218
Saudi Arabia,2008,Export,Animal,Micro Export (US$ Thousand),972029.482,0.3106
Saudi Arabia,2008,Export,Chemicals,Micro Export (US$ Thousand),9655646.203,3.0849
Saudi Arabia,2008,Export,Food Products,Micro Export (US$ Thousand),1014712.468,0.3242
Saudi Arabia,2008,Export,Footwear,Micro Export (US$ Thousand),10741.879,0.0034
Saudi Arabia,2008,Export,Fuels,Micro Export (US$ Thousand),281032221.4,89.7868
Saudi Arabia,2008,Export,Hides and Skins,Micro Export (US$ Thousand),98864.39,0.0316
Saudi Arabia,2008,Export,Mach and Elec,Micro Export (US$ Thousand),2890932.147,0.9236
Saudi Arabia,2008,Export,Metals,Micro Export (US$ Thousand),3038286.731,0.9707
Saudi Arabia,2008,Export,Minerals,Micro Export (US$ Thousand),381333.544,0.1218
Saudi Arabia,2008,Export,Miscellaneous,Micro Export (US$ Thousand),305881.984,0.0977
Saudi Arabia,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),7160749.751,2.2878
Saudi Arabia,2008,Export,Stone and Glass,Micro Export (US$ Thousand),1256818.904,0.4015
Saudi Arabia,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),462622.179,0.1478
Saudi Arabia,2008,Export,Transportation,Micro Export (US$ Thousand),3399980.782,1.0863
Saudi Arabia,2008,Export,Vegetable,Micro Export (US$ Thousand),459314.442,0.1467
Saudi Arabia,2008,Export,Wood,Micro Export (US$ Thousand),859227.74,0.2745
Saudi Arabia,2008,Import,  All Products,Import (US$ Thousand),112273148.1,100
Saudi Arabia,2008,Import, Capital goods,Macro Import (US$ Thousand),38907892.38,34.6547
Saudi Arabia,2008,Import, Consumer goods,Macro Import (US$ Thousand),34207879.82,30.4684
Saudi Arabia,2008,Import, Intermediate goods,Macro Import (US$ Thousand),29822585.54,26.5625
Saudi Arabia,2008,Import, Raw materials,Macro Import (US$ Thousand),9321398.048,8.3024
Saudi Arabia,2008,Import,Other,Macro Import (US$ Thousand),13392.285,0.012
Saudi Arabia,2008,Import,Animal,Micro Import (US$ Thousand),4083503.237,3.6371
Saudi Arabia,2008,Import,Chemicals,Micro Import (US$ Thousand),8530898.664,7.5983
Saudi Arabia,2008,Import,Food Products,Micro Import (US$ Thousand),4202566.319,3.7432
Saudi Arabia,2008,Import,Footwear,Micro Import (US$ Thousand),463116.846,0.4125
Saudi Arabia,2008,Import,Fuels,Micro Import (US$ Thousand),256191.52,0.2282
Saudi Arabia,2008,Import,Hides and Skins,Micro Import (US$ Thousand),267496.868,0.2383
Saudi Arabia,2008,Import,Mach and Elec,Micro Import (US$ Thousand),30878421.53,27.5029
Saudi Arabia,2008,Import,Metals,Micro Import (US$ Thousand),17396359.08,15.4947
Saudi Arabia,2008,Import,Minerals,Micro Import (US$ Thousand),1618137.756,1.4413
Saudi Arabia,2008,Import,Miscellaneous,Micro Import (US$ Thousand),4048097.06,3.6056
Saudi Arabia,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),3407291.992,3.0348
Saudi Arabia,2008,Import,Stone and Glass,Micro Import (US$ Thousand),2774081.868,2.4708
Saudi Arabia,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),3484400.089,3.1035
Saudi Arabia,2008,Import,Transportation,Micro Import (US$ Thousand),20228835.15,18.0175
Saudi Arabia,2008,Import,Vegetable,Micro Import (US$ Thousand),8159128.866,7.2672
Saudi Arabia,2008,Import,Wood,Micro Import (US$ Thousand),2474621.227,2.2041
Saudi Arabia,2009,Export,  All Products,Export (US$ Thousand),191810272.7,100
Saudi Arabia,2009,Export, Capital goods,Macro Export (US$ Thousand),4734753.41,2.4685
Saudi Arabia,2009,Export, Consumer goods,Macro Export (US$ Thousand),27221788.3,14.192
Saudi Arabia,2009,Export, Intermediate goods,Macro Export (US$ Thousand),16514300.53,8.6097
Saudi Arabia,2009,Export, Raw materials,Macro Export (US$ Thousand),143298451.7,74.7084
Saudi Arabia,2009,Export,Other,Macro Export (US$ Thousand),40978.818,0.0214
Saudi Arabia,2009,Export,Animal,Micro Export (US$ Thousand),1146561.086,0.5978
Saudi Arabia,2009,Export,Chemicals,Micro Export (US$ Thousand),7915885.927,4.1269
Saudi Arabia,2009,Export,Food Products,Micro Export (US$ Thousand),1175453.968,0.6128
Saudi Arabia,2009,Export,Footwear,Micro Export (US$ Thousand),10294.045,0.0054
Saudi Arabia,2009,Export,Fuels,Micro Export (US$ Thousand),163080615.4,85.0218
Saudi Arabia,2009,Export,Hides and Skins,Micro Export (US$ Thousand),81240.796,0.0424
Saudi Arabia,2009,Export,Mach and Elec,Micro Export (US$ Thousand),2829815.631,1.4753
Saudi Arabia,2009,Export,Metals,Micro Export (US$ Thousand),2248452.587,1.1722
Saudi Arabia,2009,Export,Minerals,Micro Export (US$ Thousand),224253.069,0.1169
Saudi Arabia,2009,Export,Miscellaneous,Micro Export (US$ Thousand),289217.917,0.1508
Saudi Arabia,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),6366942.557,3.3194
Saudi Arabia,2009,Export,Stone and Glass,Micro Export (US$ Thousand),1309284.834,0.6826
Saudi Arabia,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),396038.213,0.2065
Saudi Arabia,2009,Export,Transportation,Micro Export (US$ Thousand),3384871.64,1.7647
Saudi Arabia,2009,Export,Vegetable,Micro Export (US$ Thousand),460858.513,0.2403
Saudi Arabia,2009,Export,Wood,Micro Export (US$ Thousand),890486.589,0.4643
Saudi Arabia,2009,Import,  All Products,Import (US$ Thousand),92457155.43,100
Saudi Arabia,2009,Import, Capital goods,Macro Import (US$ Thousand),33059799.01,35.7569
Saudi Arabia,2009,Import, Consumer goods,Macro Import (US$ Thousand),32028334.05,34.6413
