reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
South Korea,2008,Import,  All Products,Export (US$ Thousand),435271383.1,100
South Korea,2008,Import, Capital goods,Macro Export (US$ Thousand),117373928.5,52.4053
South Korea,2008,Import, Consumer goods,Macro Export (US$ Thousand),84285227.11,23.619
South Korea,2008,Import, Intermediate goods,Macro Export (US$ Thousand),99727743.72,23.1826
South Korea,2008,Import, Raw materials,Macro Export (US$ Thousand),133832310,0.7813
South Korea,2008,Import,Other,Macro Export (US$ Thousand),52173.802,0.0118
South Korea,2008,Import,Animal,Micro Export (US$ Thousand),5157834.491,0.2804
South Korea,2008,Import,Chemicals,Micro Export (US$ Thousand),31183071.52,5.7882
South Korea,2008,Import,Food Products,Micro Export (US$ Thousand),6052385.77,0.577
South Korea,2008,Import,Footwear,Micro Export (US$ Thousand),1199058.314,0.158
South Korea,2008,Import,Fuels,Micro Export (US$ Thousand),142516530.8,9.1124
South Korea,2008,Import,Hides and Skins,Micro Export (US$ Thousand),1913414.135,0.2289
South Korea,2008,Import,Mach and Elec,Micro Export (US$ Thousand),103434000.4,34.0792
South Korea,2008,Import,Metals,Micro Export (US$ Thousand),58352841.27,9.6787
South Korea,2008,Import,Minerals,Micro Export (US$ Thousand),12267314.55,0.1394
South Korea,2008,Import,Miscellaneous,Micro Export (US$ Thousand),17678098.6,7.4777
South Korea,2008,Import,Plastic or Rubber,Micro Export (US$ Thousand),9976492.203,6.1064
South Korea,2008,Import,Stone and Glass,Micro Export (US$ Thousand),8487003.055,0.9505
South Korea,2008,Import,Textiles and Clothing,Micro Export (US$ Thousand),8745554.791,3.1092
South Korea,2008,Import,Transportation,Micro Export (US$ Thousand),12642907.28,21.4529
South Korea,2008,Import,Vegetable,Micro Export (US$ Thousand),9079024.013,0.1502
South Korea,2008,Import,Wood,Micro Export (US$ Thousand),6585851.914,0.7109
South Korea,2008,Export,  All Products,Import (US$ Thousand),422003479.1,100
South Korea,2008,Export, Capital goods,Macro Import (US$ Thousand),221152214.1,26.9657
South Korea,2008,Export, Consumer goods,Macro Import (US$ Thousand),99673159.89,19.3638
South Korea,2008,Export, Intermediate goods,Macro Import (US$ Thousand),97831371.95,22.9116
South Korea,2008,Export, Raw materials,Macro Import (US$ Thousand),3296934.662,30.7469
South Korea,2008,Export,Other,Macro Import (US$ Thousand),49798.446,0.012
South Korea,2008,Export,Animal,Micro Import (US$ Thousand),1183469.017,1.185
South Korea,2008,Export,Chemicals,Micro Import (US$ Thousand),24426441.94,7.1641
South Korea,2008,Export,Food Products,Micro Import (US$ Thousand),2434887.997,1.3905
South Korea,2008,Export,Footwear,Micro Import (US$ Thousand),666744.987,0.2755
South Korea,2008,Export,Fuels,Micro Import (US$ Thousand),38454691.09,32.742
South Korea,2008,Export,Hides and Skins,Micro Import (US$ Thousand),966148.829,0.4396
South Korea,2008,Export,Mach and Elec,Micro Import (US$ Thousand),143815465.2,23.7631
South Korea,2008,Export,Metals,Micro Import (US$ Thousand),40844312.71,13.4061
South Korea,2008,Export,Minerals,Micro Import (US$ Thousand),588208.557,2.8183
South Korea,2008,Export,Miscellaneous,Micro Import (US$ Thousand),31556173.93,4.0614
South Korea,2008,Export,Plastic or Rubber,Micro Import (US$ Thousand),25769041.52,2.292
South Korea,2008,Export,Stone and Glass,Micro Import (US$ Thousand),4011050.291,1.9498
South Korea,2008,Export,Textiles and Clothing,Micro Import (US$ Thousand),13120939.1,2.0092
South Korea,2008,Export,Transportation,Micro Import (US$ Thousand),90532007.63,2.9046
South Korea,2008,Export,Vegetable,Micro Import (US$ Thousand),633783.399,2.0858
South Korea,2008,Export,Wood,Micro Import (US$ Thousand),3000112.847,1.513
South Korea,2009,Import,  All Products,Export (US$ Thousand),323081674.8,100
South Korea,2009,Import, Capital goods,Macro Export (US$ Thousand),98895825.07,55.9055
South Korea,2009,Import, Consumer goods,Macro Export (US$ Thousand),65450038.45,20.327
South Korea,2009,Import, Intermediate goods,Macro Export (US$ Thousand),71980481.47,22.9721
South Korea,2009,Import, Raw materials,Macro Export (US$ Thousand),86713256.99,0.7828
South Korea,2009,Import,Other,Macro Export (US$ Thousand),42072.775,0.0126
South Korea,2009,Import,Animal,Micro Export (US$ Thousand),4492460.893,0.345
South Korea,2009,Import,Chemicals,Micro Export (US$ Thousand),26112255.58,5.7542
South Korea,2009,Import,Food Products,Micro Export (US$ Thousand),5353703.742,0.6983
South Korea,2009,Import,Footwear,Micro Export (US$ Thousand),1072549.362,0.1438
South Korea,2009,Import,Fuels,Micro Export (US$ Thousand),91669969.16,6.543
South Korea,2009,Import,Hides and Skins,Micro Export (US$ Thousand),1691070.811,0.2174
South Korea,2009,Import,Mach and Elec,Micro Export (US$ Thousand),87946956.06,34.9323
South Korea,2009,Import,Metals,Micro Export (US$ Thousand),35772505.2,8.6727
South Korea,2009,Import,Minerals,Micro Export (US$ Thousand),9524784.121,0.087
South Korea,2009,Import,Miscellaneous,Micro Export (US$ Thousand),14146442.98,8.7043
South Korea,2009,Import,Plastic or Rubber,Micro Export (US$ Thousand),8910131.442,6.3614
South Korea,2009,Import,Stone and Glass,Micro Export (US$ Thousand),7187854.543,1.4231
South Korea,2009,Import,Textiles and Clothing,Micro Export (US$ Thousand),7283175.703,3.141
South Korea,2009,Import,Transportation,Micro Export (US$ Thousand),10023007.84,22.0509
South Korea,2009,Import,Vegetable,Micro Export (US$ Thousand),6830250.179,0.1857
South Korea,2009,Import,Wood,Micro Export (US$ Thousand),5064557.136,0.7397
South Korea,2009,Export,  All Products,Import (US$ Thousand),363531063.4,100
South Korea,2009,Export, Capital goods,Macro Import (US$ Thousand),203233846.3,30.6102
South Korea,2009,Export, Consumer goods,Macro Import (US$ Thousand),73894902.94,20.258
South Korea,2009,Export, Intermediate goods,Macro Import (US$ Thousand),83510643.81,22.2793
South Korea,2009,Export, Raw materials,Macro Import (US$ Thousand),2845687.568,26.8394
South Korea,2009,Export,Other,Macro Import (US$ Thousand),45982.804,0.0131
South Korea,2009,Export,Animal,Micro Import (US$ Thousand),1254089.456,1.3905
South Korea,2009,Export,Chemicals,Micro Import (US$ Thousand),20918250.91,8.0822
South Korea,2009,Export,Food Products,Micro Import (US$ Thousand),2538628.161,1.6571
South Korea,2009,Export,Footwear,Micro Import (US$ Thousand),522758.937,0.332
South Korea,2009,Export,Fuels,Micro Import (US$ Thousand),23785976.1,28.3736
South Korea,2009,Export,Hides and Skins,Micro Import (US$ Thousand),790479.025,0.5234
South Korea,2009,Export,Mach and Elec,Micro Import (US$ Thousand),126989885.4,27.2213
South Korea,2009,Export,Metals,Micro Import (US$ Thousand),31528090.77,11.0723
South Korea,2009,Export,Minerals,Micro Import (US$ Thousand),316283.578,2.9481
South Korea,2009,Export,Miscellaneous,Micro Import (US$ Thousand),31642997.98,4.3786
South Korea,2009,Export,Plastic or Rubber,Micro Import (US$ Thousand),23125536.39,2.7579
South Korea,2009,Export,Stone and Glass,Micro Import (US$ Thousand),5173305.813,2.2248
South Korea,2009,Export,Textiles and Clothing,Micro Import (US$ Thousand),11418585.14,2.2543
South Korea,2009,Export,Transportation,Micro Import (US$ Thousand),80162000.42,3.1023
South Korea,2009,Export,Vegetable,Micro Import (US$ Thousand),675116.781,2.1141
South Korea,2009,Export,Wood,Micro Import (US$ Thousand),2689078.565,1.5676
South Korea,2010,Import,  All Products,Export (US$ Thousand),425208007.1,100
South Korea,2010,Import, Capital goods,Macro Export (US$ Thousand),126810386.6,55.1123
South Korea,2010,Import, Consumer goods,Macro Export (US$ Thousand),84272516.11,20.9371
South Korea,2010,Import, Intermediate goods,Macro Export (US$ Thousand),95447810.63,23.2034
South Korea,2010,Import, Raw materials,Macro Export (US$ Thousand),118616694.6,0.7351
South Korea,2010,Import,Other,Macro Export (US$ Thousand),60599.091,0.0121
South Korea,2010,Import,Animal,Micro Export (US$ Thousand),5504239.869,0.3234
South Korea,2010,Import,Chemicals,Micro Export (US$ Thousand),33440604.05,5.8701
South Korea,2010,Import,Food Products,Micro Export (US$ Thousand),6389883.305,0.6723
South Korea,2010,Import,Footwear,Micro Export (US$ Thousand),1448392.974,0.125
South Korea,2010,Import,Fuels,Micro Export (US$ Thousand),122597070.8,6.9856
South Korea,2010,Import,Hides and Skins,Micro Export (US$ Thousand),2429070.512,0.1977
South Korea,2010,Import,Mach and Elec,Micro Export (US$ Thousand),110645701.5,34.9097
South Korea,2010,Import,Metals,Micro Export (US$ Thousand),47337467.33,8.6044
South Korea,2010,Import,Minerals,Micro Export (US$ Thousand),15055115.67,0.1155
South Korea,2010,Import,Miscellaneous,Micro Export (US$ Thousand),19737622.65,8.6669
South Korea,2010,Import,Plastic or Rubber,Micro Export (US$ Thousand),12661313.05,6.5474
South Korea,2010,Import,Stone and Glass,Micro Export (US$ Thousand),9320349.217,1.264
South Korea,2010,Import,Textiles and Clothing,Micro Export (US$ Thousand),9705765.896,2.9459
South Korea,2010,Import,Transportation,Micro Export (US$ Thousand),14230159.58,21.8932
South Korea,2010,Import,Vegetable,Micro Export (US$ Thousand),8179401.058,0.1752
South Korea,2010,Import,Wood,Micro Export (US$ Thousand),6525849.671,0.7037
South Korea,2010,Export,  All Products,Import (US$ Thousand),466380619.7,100
South Korea,2010,Export, Capital goods,Macro Import (US$ Thousand),257033226.5,29.8231
South Korea,2010,Export, Consumer goods,Macro Import (US$ Thousand),97646550.08,19.8191
South Korea,2010,Export, Intermediate goods,Macro Import (US$ Thousand),108215985,22.4473
South Korea,2010,Export, Raw materials,Macro Import (US$ Thousand),3428423.795,27.8962
South Korea,2010,Export,Other,Macro Import (US$ Thousand),56434.345,0.0143
South Korea,2010,Export,Animal,Micro Import (US$ Thousand),1508333.457,1.2945
South Korea,2010,Export,Chemicals,Micro Import (US$ Thousand),27377172.03,7.8645
South Korea,2010,Export,Food Products,Micro Import (US$ Thousand),3135410.104,1.5028
South Korea,2010,Export,Footwear,Micro Import (US$ Thousand),582808.736,0.3406
South Korea,2010,Export,Fuels,Micro Import (US$ Thousand),32579698.5,28.8323
South Korea,2010,Export,Hides and Skins,Micro Import (US$ Thousand),921958.118,0.5713
