reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Turkey,2008,Export,  All Products,Export (US$ Thousand),132027195.6,100
Turkey,2008,Export, Capital goods,Macro Export (US$ Thousand),26832844.64,20.3237
Turkey,2008,Export, Consumer goods,Macro Export (US$ Thousand),58355867.6,44.1999
Turkey,2008,Export, Intermediate goods,Macro Export (US$ Thousand),38171199.29,28.9116
Turkey,2008,Export, Raw materials,Macro Export (US$ Thousand),7311108.617,5.5376
Turkey,2008,Export,Other,Macro Export (US$ Thousand),1356175.481,1.0272
Turkey,2008,Export,Animal,Micro Export (US$ Thousand),761944.407,0.5771
Turkey,2008,Export,Chemicals,Micro Export (US$ Thousand),3354049.586,2.5404
Turkey,2008,Export,Food Products,Micro Export (US$ Thousand),4425642.035,3.3521
Turkey,2008,Export,Footwear,Micro Export (US$ Thousand),381081.505,0.2886
Turkey,2008,Export,Fuels,Micro Export (US$ Thousand),7531775.508,5.7047
Turkey,2008,Export,Hides and Skins,Micro Export (US$ Thousand),713510.004,0.5404
Turkey,2008,Export,Mach and Elec,Micro Export (US$ Thousand),18229282,13.8072
Turkey,2008,Export,Metals,Micro Export (US$ Thousand),24445955.37,18.5158
Turkey,2008,Export,Minerals,Micro Export (US$ Thousand),3127281.478,2.3687
Turkey,2008,Export,Miscellaneous,Micro Export (US$ Thousand),3963919.774,3.0024
Turkey,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),5372254.262,4.0691
Turkey,2008,Export,Stone and Glass,Micro Export (US$ Thousand),8415161.702,6.3738
Turkey,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),22781555.05,17.2552
Turkey,2008,Export,Transportation,Micro Export (US$ Thousand),21146162.5,16.0165
Turkey,2008,Export,Vegetable,Micro Export (US$ Thousand),5674180.893,4.2977
Turkey,2008,Export,Wood,Micro Export (US$ Thousand),1703439.552,1.2902
Turkey,2008,Import,  All Products,Import (US$ Thousand),201963574.1,100
Turkey,2008,Import, Capital goods,Macro Import (US$ Thousand),47035148.79,23.2889
Turkey,2008,Import, Consumer goods,Macro Import (US$ Thousand),41829827.39,20.7116
Turkey,2008,Import, Intermediate goods,Macro Import (US$ Thousand),60300153.38,29.8569
Turkey,2008,Import, Raw materials,Macro Import (US$ Thousand),18661120.59,9.2398
Turkey,2008,Import,Other,Macro Import (US$ Thousand),34137323.95,16.9028
Turkey,2008,Import,Animal,Micro Import (US$ Thousand),317694.013,0.1573
Turkey,2008,Import,Chemicals,Micro Import (US$ Thousand),17015243.32,8.4249
Turkey,2008,Import,Food Products,Micro Import (US$ Thousand),2276334.814,1.1271
Turkey,2008,Import,Footwear,Micro Import (US$ Thousand),769153.726,0.3808
Turkey,2008,Import,Fuels,Micro Import (US$ Thousand),15123537.04,7.4882
Turkey,2008,Import,Hides and Skins,Micro Import (US$ Thousand),1157990.588,0.5734
