reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
United Kingdom,2008,Export,  All Products,Export (US$ Thousand),482020961.9,100
United Kingdom,2008,Export, Capital goods,Macro Export (US$ Thousand),134647609.3,40.2332
United Kingdom,2008,Export, Consumer goods,Macro Export (US$ Thousand),173650329.2,23.7328
United Kingdom,2008,Export, Intermediate goods,Macro Export (US$ Thousand),78775281.54,22.6573
United Kingdom,2008,Export, Raw materials,Macro Export (US$ Thousand),54503255.14,10.4798
United Kingdom,2008,Export,Other,Macro Export (US$ Thousand),40444486.78,2.8969
United Kingdom,2008,Export,Animal,Micro Export (US$ Thousand),6004130.762,1.5953
United Kingdom,2008,Export,Chemicals,Micro Export (US$ Thousand),69306011.54,10.8728
United Kingdom,2008,Export,Food Products,Micro Export (US$ Thousand),17139206.86,2.1868
United Kingdom,2008,Export,Footwear,Micro Export (US$ Thousand),1393956.021,0.1045
United Kingdom,2008,Export,Fuels,Micro Export (US$ Thousand),62259805.95,5.9013
United Kingdom,2008,Export,Hides and Skins,Micro Export (US$ Thousand),1238818.93,0.329
United Kingdom,2008,Export,Mach and Elec,Micro Export (US$ Thousand),105894997.2,28.0925
United Kingdom,2008,Export,Metals,Micro Export (US$ Thousand),34694799.74,5.7569
United Kingdom,2008,Export,Minerals,Micro Export (US$ Thousand),1141987.846,0.6699
United Kingdom,2008,Export,Miscellaneous,Micro Export (US$ Thousand),68896299.07,10.6932
United Kingdom,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),15661482.15,4.8465
United Kingdom,2008,Export,Stone and Glass,Micro Export (US$ Thousand),26131174.72,4.6201
United Kingdom,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),10780408.42,1.738
United Kingdom,2008,Export,Transportation,Micro Export (US$ Thousand),46622872.71,14.5944
United Kingdom,2008,Export,Vegetable,Micro Export (US$ Thousand),4146448.631,5.19
United Kingdom,2008,Export,Wood,Micro Export (US$ Thousand),10708561.36,2.8088
United Kingdom,2008,Import,  All Products,Import (US$ Thousand),705344160.8,100
United Kingdom,2008,Import, Capital goods,Macro Import (US$ Thousand),174928971.6,26.4204
United Kingdom,2008,Import, Consumer goods,Macro Import (US$ Thousand),270615758.9,35.1497
United Kingdom,2008,Import, Intermediate goods,Macro Import (US$ Thousand),122287091.9,15.5733
United Kingdom,2008,Import, Raw materials,Macro Import (US$ Thousand),85322687.5,19.8708
United Kingdom,2008,Import,Other,Macro Import (US$ Thousand),52189650.96,2.9858
United Kingdom,2008,Import,Animal,Micro Import (US$ Thousand),14133722.62,0.9953
United Kingdom,2008,Import,Chemicals,Micro Import (US$ Thousand),59878319.48,7.506
United Kingdom,2008,Import,Food Products,Micro Import (US$ Thousand),32026370.92,2.0833
United Kingdom,2008,Import,Footwear,Micro Import (US$ Thousand),6458895.526,1.1192
United Kingdom,2008,Import,Fuels,Micro Import (US$ Thousand),87287932.59,23.1862
United Kingdom,2008,Import,Hides and Skins,Micro Import (US$ Thousand),3565272.721,0.5461
United Kingdom,2008,Import,Mach and Elec,Micro Import (US$ Thousand),150880145.3,23.6318
United Kingdom,2008,Import,Metals,Micro Import (US$ Thousand),38551207.9,5.9812
United Kingdom,2008,Import,Minerals,Micro Import (US$ Thousand),5708636.699,0.4066
United Kingdom,2008,Import,Miscellaneous,Micro Import (US$ Thousand),97968651.45,10.0486
United Kingdom,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),23957697.82,2.7457
United Kingdom,2008,Import,Stone and Glass,Micro Import (US$ Thousand),36504457.54,3.065
United Kingdom,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),35930927.44,4.6428
United Kingdom,2008,Import,Transportation,Micro Import (US$ Thousand),71067586.12,10.3466
United Kingdom,2008,Import,Vegetable,Micro Import (US$ Thousand),19644309.15,1.6207
United Kingdom,2008,Import,Wood,Micro Import (US$ Thousand),21780027.61,2.0749
United Kingdom,2009,Export,  All Products,Export (US$ Thousand),359615540.1,100
United Kingdom,2009,Export, Capital goods,Macro Export (US$ Thousand),91566528.54,35.1123
United Kingdom,2009,Export, Consumer goods,Macro Export (US$ Thousand),132349247.6,23.9164
United Kingdom,2009,Export, Intermediate goods,Macro Export (US$ Thousand),55231692.33,20.8225
United Kingdom,2009,Export, Raw materials,Macro Export (US$ Thousand),37073055.93,10.1504
United Kingdom,2009,Export,Other,Macro Export (US$ Thousand),43395015.62,9.9984
United Kingdom,2009,Export,Animal,Micro Export (US$ Thousand),5099948.429,1.6674
United Kingdom,2009,Export,Chemicals,Micro Export (US$ Thousand),62421403.48,12.1805
United Kingdom,2009,Export,Food Products,Micro Export (US$ Thousand),15396304.43,2.621
United Kingdom,2009,Export,Footwear,Micro Export (US$ Thousand),1338697.669,0.1159
United Kingdom,2009,Export,Fuels,Micro Export (US$ Thousand),39658996.55,5.1988
United Kingdom,2009,Export,Hides and Skins,Micro Export (US$ Thousand),962641.39,0.3031
United Kingdom,2009,Export,Mach and Elec,Micro Export (US$ Thousand),68165539.77,26.2994
United Kingdom,2009,Export,Metals,Micro Export (US$ Thousand),20727590.84,5.0342
United Kingdom,2009,Export,Minerals,Micro Export (US$ Thousand),826385.722,0.4845
United Kingdom,2009,Export,Miscellaneous,Micro Export (US$ Thousand),65931076.77,18.6505
United Kingdom,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),11918677.48,4.9845
United Kingdom,2009,Export,Stone and Glass,Micro Export (US$ Thousand),17542340.75,4.344
United Kingdom,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),8762406.279,1.7357
United Kingdom,2009,Export,Transportation,Micro Export (US$ Thousand),28979988,8.1474
United Kingdom,2009,Export,Vegetable,Micro Export (US$ Thousand),3454909.698,5.2563
United Kingdom,2009,Export,Wood,Micro Export (US$ Thousand),8428632.803,2.9769
United Kingdom,2009,Import,  All Products,Import (US$ Thousand),552042034.6,100
United Kingdom,2009,Import, Capital goods,Macro Import (US$ Thousand),108384176.2,29.2597
United Kingdom,2009,Import, Consumer goods,Macro Import (US$ Thousand),199276060.3,36.7419
United Kingdom,2009,Import, Intermediate goods,Macro Import (US$ Thousand),81403261.31,14.6257
United Kingdom,2009,Import, Raw materials,Macro Import (US$ Thousand),55750635.05,15.9098
United Kingdom,2009,Import,Other,Macro Import (US$ Thousand),107227901.8,3.4629
United Kingdom,2009,Import,Animal,Micro Import (US$ Thousand),11112498.23,1.1979
United Kingdom,2009,Import,Chemicals,Micro Import (US$ Thousand),53249824.48,8.7999
United Kingdom,2009,Import,Food Products,Micro Import (US$ Thousand),28639813.69,2.6
United Kingdom,2009,Import,Footwear,Micro Import (US$ Thousand),6013883.44,1.3368
United Kingdom,2009,Import,Fuels,Micro Import (US$ Thousand),50292068.94,17.426
United Kingdom,2009,Import,Hides and Skins,Micro Import (US$ Thousand),2904525.834,0.5793
United Kingdom,2009,Import,Mach and Elec,Micro Import (US$ Thousand),83061789.56,26.5425
United Kingdom,2009,Import,Metals,Micro Import (US$ Thousand),22971199.39,4.6758
United Kingdom,2009,Import,Minerals,Micro Import (US$ Thousand),2658230.86,0.3301
United Kingdom,2009,Import,Miscellaneous,Micro Import (US$ Thousand),142255747.6,11.3833
United Kingdom,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),18612284.52,2.8929
United Kingdom,2009,Import,Stone and Glass,Micro Import (US$ Thousand),22379930.75,3.1401
United Kingdom,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),30657597.55,5.4148
United Kingdom,2009,Import,Transportation,Micro Import (US$ Thousand),46325651.7,9.6411
United Kingdom,2009,Import,Vegetable,Micro Import (US$ Thousand),15155032.78,1.957
United Kingdom,2009,Import,Wood,Micro Import (US$ Thousand),15751955.28,2.0825
United Kingdom,2010,Export,  All Products,Export (US$ Thousand),422014118.5,100
United Kingdom,2010,Export, Capital goods,Macro Export (US$ Thousand),115027324.5,34.8798
United Kingdom,2010,Export, Consumer goods,Macro Export (US$ Thousand),157578846.2,24.1016
United Kingdom,2010,Export, Intermediate goods,Macro Export (US$ Thousand),64658562.63,21.6395
United Kingdom,2010,Export, Raw materials,Macro Export (US$ Thousand),49613728.72,10.5767
United Kingdom,2010,Export,Other,Macro Export (US$ Thousand),35135656.41,8.8024
United Kingdom,2010,Export,Animal,Micro Export (US$ Thousand),5985463.245,1.6321
United Kingdom,2010,Export,Chemicals,Micro Export (US$ Thousand),66587330.27,11.6411
United Kingdom,2010,Export,Food Products,Micro Export (US$ Thousand),16478920.42,2.4961
United Kingdom,2010,Export,Footwear,Micro Export (US$ Thousand),1500437.523,0.1109
United Kingdom,2010,Export,Fuels,Micro Export (US$ Thousand),52285258.35,6.3917
United Kingdom,2010,Export,Hides and Skins,Micro Export (US$ Thousand),1278275.47,0.345
United Kingdom,2010,Export,Mach and Elec,Micro Export (US$ Thousand),90047232.43,26.1742
United Kingdom,2010,Export,Metals,Micro Export (US$ Thousand),25565669.9,5.2763
United Kingdom,2010,Export,Minerals,Micro Export (US$ Thousand),874276.467,0.6121
United Kingdom,2010,Export,Miscellaneous,Micro Export (US$ Thousand),61651683.17,16.8313
United Kingdom,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),13458266.54,5.1698
United Kingdom,2010,Export,Stone and Glass,Micro Export (US$ Thousand),23261217.98,4.78
United Kingdom,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),9591203.014,1.8457
United Kingdom,2010,Export,Transportation,Micro Export (US$ Thousand),39879932,8.7612
United Kingdom,2010,Export,Vegetable,Micro Export (US$ Thousand),4134902.033,4.995
United Kingdom,2010,Export,Wood,Micro Export (US$ Thousand),9434049.65,2.9373
United Kingdom,2010,Import,  All Products,Import (US$ Thousand),627617523.1,100
United Kingdom,2010,Import, Capital goods,Macro Import (US$ Thousand),156744453.3,29.3994
United Kingdom,2010,Import, Consumer goods,Macro Import (US$ Thousand),241022609.2,36.005
United Kingdom,2010,Import, Intermediate goods,Macro Import (US$ Thousand),101898944.7,14.9083
United Kingdom,2010,Import, Raw materials,Macro Import (US$ Thousand),67715010.75,16.8251
