reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
United States,2008,Export,  All Products,Export (US$ Thousand),1299898877,100
United States,2008,Export, Capital goods,Macro Export (US$ Thousand),522991101.2,40.2332
United States,2008,Export, Consumer goods,Macro Export (US$ Thousand),308502141.8,23.7328
United States,2008,Export, Intermediate goods,Macro Export (US$ Thousand),294522213.2,22.6573
United States,2008,Export, Raw materials,Macro Export (US$ Thousand),136226242.6,10.4798
United States,2008,Export,Other,Macro Export (US$ Thousand),37657178.36,2.8969
United States,2008,Export,Animal,Micro Export (US$ Thousand),20737393.98,1.5953
United States,2008,Export,Chemicals,Micro Export (US$ Thousand),141335023.6,10.8728
United States,2008,Export,Food Products,Micro Export (US$ Thousand),28426277.95,2.1868
United States,2008,Export,Footwear,Micro Export (US$ Thousand),1358896.759,0.1045
United States,2008,Export,Fuels,Micro Export (US$ Thousand),76711358.17,5.9013
United States,2008,Export,Hides and Skins,Micro Export (US$ Thousand),4276976.817,0.329
United States,2008,Export,Mach and Elec,Micro Export (US$ Thousand),365173925.8,28.0925
United States,2008,Export,Metals,Micro Export (US$ Thousand),74834353.6,5.7569
United States,2008,Export,Minerals,Micro Export (US$ Thousand),8708374.731,0.6699
United States,2008,Export,Miscellaneous,Micro Export (US$ Thousand),139000182.5,10.6932
United States,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),62999284.28,4.8465
United States,2008,Export,Stone and Glass,Micro Export (US$ Thousand),60056176.42,4.6201
United States,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),22591598.33,1.738
United States,2008,Export,Transportation,Micro Export (US$ Thousand),189712989.4,14.5944
United States,2008,Export,Vegetable,Micro Export (US$ Thousand),67464796.89,5.19
United States,2008,Export,Wood,Micro Export (US$ Thousand),36511267.98,2.8088
United States,2008,Import,  All Products,Import (US$ Thousand),2164834031,100
United States,2008,Import, Capital goods,Macro Import (US$ Thousand),571957012.8,26.4204
United States,2008,Import, Consumer goods,Macro Import (US$ Thousand),760932066.2,35.1497
United States,2008,Import, Intermediate goods,Macro Import (US$ Thousand),337135666.4,15.5733
United States,2008,Import, Raw materials,Macro Import (US$ Thousand),430170683.9,19.8708
United States,2008,Import,Other,Macro Import (US$ Thousand),64638601.81,2.9858
United States,2008,Import,Animal,Micro Import (US$ Thousand),21546299.29,0.9953
United States,2008,Import,Chemicals,Micro Import (US$ Thousand),162492838.8,7.506
United States,2008,Import,Food Products,Micro Import (US$ Thousand),45099934.59,2.0833
United States,2008,Import,Footwear,Micro Import (US$ Thousand),24228069.76,1.1192
United States,2008,Import,Fuels,Micro Import (US$ Thousand),501942111.6,23.1862
United States,2008,Import,Hides and Skins,Micro Import (US$ Thousand),11822390.85,0.5461
United States,2008,Import,Mach and Elec,Micro Import (US$ Thousand),511589556,23.6318
United States,2008,Import,Metals,Micro Import (US$ Thousand),129483108.7,5.9812
United States,2008,Import,Minerals,Micro Import (US$ Thousand),8802277.834,0.4066
United States,2008,Import,Miscellaneous,Micro Import (US$ Thousand),217536430.9,10.0486
United States,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),59440108.44,2.7457
United States,2008,Import,Stone and Glass,Micro Import (US$ Thousand),66351817.95,3.065
United States,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),100508512.6,4.6428
United States,2008,Import,Transportation,Micro Import (US$ Thousand),223987245.2,10.3466
United States,2008,Import,Vegetable,Micro Import (US$ Thousand),35084616.11,1.6207
United States,2008,Import,Wood,Micro Import (US$ Thousand),44918712.56,2.0749
United States,2009,Export,  All Products,Export (US$ Thousand),1056712078,100
United States,2009,Export, Capital goods,Macro Export (US$ Thousand),371036094.6,35.1123
United States,2009,Export, Consumer goods,Macro Export (US$ Thousand),252727730.8,23.9164
United States,2009,Export, Intermediate goods,Macro Export (US$ Thousand),220034257.6,20.8225
United States,2009,Export, Raw materials,Macro Export (US$ Thousand),107260146.8,10.1504
United States,2009,Export,Other,Macro Export (US$ Thousand),105653848.4,9.9984
United States,2009,Export,Animal,Micro Export (US$ Thousand),17619186.1,1.6674
United States,2009,Export,Chemicals,Micro Export (US$ Thousand),128712870.4,12.1805
United States,2009,Export,Food Products,Micro Export (US$ Thousand),27696754.37,2.621
United States,2009,Export,Footwear,Micro Export (US$ Thousand),1224831.387,0.1159
United States,2009,Export,Fuels,Micro Export (US$ Thousand),54936719.51,5.1988
United States,2009,Export,Hides and Skins,Micro Export (US$ Thousand),3202645.868,0.3031
United States,2009,Export,Mach and Elec,Micro Export (US$ Thousand),277908717.4,26.2994
United States,2009,Export,Metals,Micro Export (US$ Thousand),53196535.54,5.0342
United States,2009,Export,Minerals,Micro Export (US$ Thousand),5119618.881,0.4845
United States,2009,Export,Miscellaneous,Micro Export (US$ Thousand),197082439.9,18.6505
United States,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),52671712.92,4.9845
United States,2009,Export,Stone and Glass,Micro Export (US$ Thousand),45903353.89,4.344
United States,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),18341112.55,1.7357
United States,2009,Export,Transportation,Micro Export (US$ Thousand),86094286.1,8.1474
United States,2009,Export,Vegetable,Micro Export (US$ Thousand),55543765.95,5.2563
United States,2009,Export,Wood,Micro Export (US$ Thousand),31457527.59,2.9769
United States,2009,Import,  All Products,Import (US$ Thousand),1601895815,100
United States,2009,Import, Capital goods,Macro Import (US$ Thousand),468709130.1,29.2597
United States,2009,Import, Consumer goods,Macro Import (US$ Thousand),588567183.3,36.7419
United States,2009,Import, Intermediate goods,Macro Import (US$ Thousand),234288569.3,14.6257
United States,2009,Import, Raw materials,Macro Import (US$ Thousand),254859148.5,15.9098
