country,population,gdp,trade_balance,top_importer,import_value,top_exporter,export_value,gdp_pop
Aruba,105845,0,0,United States,678.7675291,Unspecified,36.42982752,0
Bermuda,63968,0,0,United States,742.3767005,United States,14.35427293,0
Cayman Islands,64174,0,0,0,0,0,0,0
Eritrea,3213972,0,0,United States,68.954703,Fm Sudan,1.292275,0
Greenland,56025,0,0,Denmark,449.4785229,Denmark,546.6603166,0
Iran,81800269,0,0,China,13115.13965,"Other Asia, nes",44827.37796,0
New Caledonia,284060,0,0,France,649.825053,China,442.569729,0
French Polynesia,277679,0,0,France,390.279178,Japan,33.982412,0
Syria,16906283,0,0,Turkey,1672.062124,Iraq,2294.520028,0
Venezuela,28870195,0,0,United States,10487.6554,Unspecified,57806.5087,0
Burundi,11175378,3036.931818,-690.6570268,Saudi Arabia,136.0983909,United Arab Emirates,50.21634883,271.7520444
Malawi,18143315,7064.971176,0,South Africa,452.1556643,Belgium,194.116339,389.3980332
Niger,22442948,9290.938457,-1607.007861,France,527.395473,France,289.933424,413.9803049
Central African Republic,4666377,2219.894702,-623.7104516,France,109.4260154,France,120.4263865,475.7212506
Mozambique,29495962,14717.22321,-5366.36744,South Africa,1772.616966,India,1435.777689,498.9572203
Afghanistan,37172386,19362.96958,0,"Iran, Islamic Rep.",2528.334952,Pakistan,758.2179066,520.8966027
Madagascar,26262368,13853.43287,-711.7713512,China,823.8624118,United States,646.740789,527.5012851
Sierra Leone,7650154,4085.114794,-888.9713072,China,180.1656244,Netherlands,23.63867256,533.9911842
Uganda,42723139,27461.44019,-2521.177144,China,1184.441652,Kenya,580.1523514,642.7767442
Togo,7889094,5358.722983,-587.9819885,China,317.0621745,Burkina Faso,134.2317036,679.2570836
Burkina Faso,19751535,14124.77507,-910.6548567,China,543.3953005,Switzerland,1730.95162,715.1229041
Chad,15477751,11273.11524,-212.6079285,0,0,0,0,728.3432354
Ethiopia,109224559,84355.60475,-12173.60829,China,6095.987645,United States,169.446868,772.3135302
Rwanda,12301939,9508.715596,-1593.896006,China,377.773207,"Congo, Dem. Rep.",197.810196,772.9444599
Tajikistan,9100837,7522.94781,0,Uzbekistan,185.197,Russian Federation,258.77,826.6215305
Guinea,12414318,10907.21499,-1681.981001,China,319.216639,Ghana,346.506953,878.599613
Mali,19077690,17163.43283,-1793.896111,Senegal,889.7809461,South Africa,780.2152665,899.659908
Benin,11485048,10354.27464,-911.9072768,Thailand,458.4313555,Bangladesh,216.4091815,901.5438716
Yemen,28498687,26914.40222,0,United Arab Emirates,754.198499,Saudi Arabia,163.957478,944.4084992
Sudan,41801533,40851.53613,-856.5760148,China,2067.332176,China,6323.168259,977.2736356
United Republic of Tanzania,56318348,58001.20057,0,China,1770.516491,Rwanda,685.6292184,1029.881071
Nepal,28087871,29040.39898,-10850.53207,India,6519.702259,India,420.179765,1033.912431
Mauritania,4403319,5234.817927,-1629.359893,"Korea, Rep.",636.8589653,China,698.3173248,1188.834588
Kyrgyzstan,6315800,8092.836609,-2885.580104,China,1942.257729,United Kingdom,669.985393,1281.363661
Lesotho,2108132,2738.786278,-1105.020983,South Africa,1461.144261,South Africa,331.1755829,1299.153126
Myanmar,53708395,71214.80338,0,China,6222.920994,China,5559.601161,1325.952924
Comoros,832322,1177.955049,-195.5236758,France,24.88358,France,3.458063,1415.263623
Pakistan,212215030,314588.2105,-34467.90169,China,14544.68675,United States,3802.499709,1482.403063
Cambodia,16249798,24542.47406,-418.978763,China,4550.948205,United States,2147.050442,1510.32487
Senegal,15854360,24129.59955,-3434.818715,France,1023.897895,Mali,698.6677938,1521.953554
Cameroon,25216237,38675.20529,-1695.464856,China,1785.730011,Italy,906.2152361,1533.74214
Zambia,17351822,26720.07344,-217.5728765,South Africa,2726.786421,Switzerland,3809.16328,1539.900158
Kiribati,115847,188.2845188,0,Australia,25.623595,Malaysia,3.488251,1625.2861
Bangladesh,161356039,274024.959,-23683.91317,China,10349.33254,United States,6139.352462,1698.262803
Kenya,51393010,87908.26252,-8640.636692,China,3661.016788,Uganda,610.8068665,1710.510097
Sao Tome and Principe,211028,422.2967623,0,Portugal,79.70726585,Netherlands,4.563001249,2001.140902
India,1352617328,2718732.231,-106074.4846,China,90398.34327,United States,51628.58741,2009.978857
Nigeria,195874740,397269.6161,-7999.635328,China,8348.841486,India,9906.692889,2028.18197
Nicaragua,6465513,13117.84542,-1219.179037,United States,2041.59694,United States,3063.901577,2028.894756
East Timor,1267972,2581,0,Indonesia,187.4948939,Indonesia,6.13575262,2035.533908
Solomon Islands,652858,1395.608472,0,Australia,109.5802596,China,380.3527366,2137.690695
Zimbabwe,14439018,31000.51945,-802.4054287,South Africa,2458.477736,South Africa,2078.156756,2146.996385
Democratic Republic of the Congo,5244363,11263.68269,4828.447686,Heard Island and McDonald Isla,463.4105605,China,2761.483198,2147.76946
Ghana,29767108,65556.46405,-753.565509,China,2272.599779,India,3670.38368,2202.312164
Honduras,9587522,23969.89043,-4451.455275,United States,2987.170479,United States,1999.950169,2500.113213
Egypt,98423595,250894.7604,-26229.34136,China,11517.08405,Italy,2052.52292,2549.132252
Vietnam,95540395,245213.6864,8231.68695,China,58532.56613,United States,41549.71467,2566.59695
Papua New Guinea,8606316,23497.60769,0,Australia,2865.41271,Australia,1621.045419,2730.274799
Ukraine,44622516,130832.3744,-11249.9035,Russian Federation,8090.391281,Russian Federation,3652.428496,2931.981119
Djibouti,958920,2955.912228,-889.8622491,France,197.54463,Ethiopia(excludes Eritrea),128.55501,3082.543098
Philippines,106651922,330910.3436,-41994.98929,China,22579.34276,United States,10550.41246,3102.713363
Vanuatu,292680,914.3011193,0,Australia,83.268138,Malaysia,12.991283,3123.893397
